,Question,Answer,Level,Category,Type,Skill,Answer Description,Type
, (1 + Inf. Rate) (1 + Money D Rate)-1,,,,,,,
, (1 + Money D Rate) + (1 + Inf. Rate)-1,,,,,,,
, (1 + Money D Rate) 4- (1 + Inf. Rate)-1,,,,,,,
, (1 + Money D Rate) - (1 + Inf. Rate)-1,,,,,,,
,,,,,,,,
6,Which of the following cannot be true?,A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Inflation Rate > Money Dis. Rate,,,,,,,
, Real Dis. Rate < Money Dis. Rate,,,,,,,
, Inflation Rate < Real Dis. Rate,,,,,,,
, Inflation Rate = Real Dis. Rate,,,,,,,
,,,,,,,,
7,Money Cash flows should be adjusted for:,C,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Only Inflation Effect,,,,,,,
, Only Time Value of Money,,,,,,,
, None of (a) and (b),,,,,,,
, Both of (a) and (b),,,,,,,
,,,,,,,,
8,EAV should be used in case of:,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Divisible Projects,,,,,,,
, Repetitive Projects,,,,,,,
, One-off Investments,,,,,,,
, Indivisible Projects,,,,,,,
,,,,,,,,
9,EAV is Equal to:,C,M,Theory,Single Choice,Corporate Finance: financial analysis,,
," NPV x PVAF (r , n)",,,,,,,
," NPV + PVAF (r , n)",,,,,,,
," NPV - PVAF (r , n )",,,,,,,
,"NPV-PVAF (r , n )",,,,,,,
,,,,,,,,
10,Two mutually exclusive projects with different economic lives can be compared on the basis of,D,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Internal Rate of Return,,,,,,,
, Profitability Index,,,,,,,
, Net Present Value,,,,,,,
, Equivalent Annuity Value,,,,,,,
,,,,,,,,
11,Risk in Capital budgeting implies that the decision-maker knows of the cash flows,B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Variability,,,,,,,
, Probability,,,,,,,
, Certainty,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
12,"In Certainty-equivalent approach, adjusted cash flows are discounted at:",D,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Accounting Rate of Return,,,,,,,
, Internal Rate of Return,,,,,,,
, Hurdle Rate,,,,,,,
, Risk-free Rate,,,,,,,
,,,,,,,,
13,Risk in Capital budgeting is same as:,D,E,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Uncertainty of Cash flows,,,,,,,
, Probability of Cash flows,,,,,,,
, Certainty of Cash flows,,,,,,,
, Variability of Cash flows,,,,,,,
,,,,,,,,
17,"NPV of a proposal, as calculated by RADR real CE Approach will be:",B,H,Theory,Single Choice,Corporate Finance: financial analysis,,
, Same,,,,,,,
, Unequal,,,,,,,
, Both (a) and (b),,,,,,,
, None of (a) and (b),,,,,,,
,,,,,,,,
1,Risk of a Capital budgeting can be incorporated,D,M,Theory,Single Choice,Corporate Finance: financial analysis: budgeting,,
, Adjusting the Cash flows,,,,,,,
, Adjusting the Discount Rate,,,,,,,
, Adjusting the life,,,,,,,
, All of the above,,,,,,,
,,,,,,,,
2,Which element of the basic NPV equation is adjusted by the RADR?,A,H,Theory,Single Choice,Corporate Finance: financial analysis,,
, Denominator,,,,,,,
, Numerator,,,,,,,
, Both,,,,,,,
, None,,,,,,,
,,,,,,,,
3,"In CE Approach, the CE Factors for different years are:",B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Generally increasing,,,,,,,
, Generally decreasing,,,,,,,
, Generally same,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
4,Which of the following is correct for RADR?,C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Accept a project if NPV at RADR is negative,,,,,,,
, Accept a project if IRR is more than RADR,,,,,,,
, RADR is overall cost of capital plus risk-premium,,,,,,,
, All of the above,,,,,,,
,,,,,,,,
5,In Playback Period approach to risk the target payback period is,C,M,Theory,Single Choice,Corporate Finance: financial analysis,,
,Not adjusted,,,,,,,
,Adjusted upward,,,,,,,
,Adjusted downward,,,,,,,
, B or C,,,,,,,
,,,,,,,,
6,"In Sensitivity Analysis, the emphasis is on assessment of sensitivity of",B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Net Economic Life,,,,,,,
, Net Present Value,,,,,,,
, Both (a) and (b),,,,,,,
,None of (a) and (b),,,,,,,
,,,,,,,,
7,Most Sensitive variable as given by the Sensitivity Analysis should be:,C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Ignored,,,,,,,
, Given Least important,,,,,,,
, Given the maximum importance,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
8,"Expected Value of Cash Flow, EVCF, is",B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Certain to occur,,,,,,,
, Most likely Cashflows,,,,,,,
, Arithmetic Average Cashflow,,,,,,,
, Geometric Average Cashflow,,,,,,,
,,,,,,,,
9,Concept of joint probability is used in case of:,C,H,Theory,Single Choice,Corporate Finance: financial analysis,,
, Independent Cashflows,,,,,,,
, Uncertain Cashflows,,,,,,,
, Dependent Cashflows,,,,,,,
, Certain Cashflows,,,,,,,
,,,,,,,,
10,Decision-tree approach is used in,B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Proposals with longer life,,,,,,,
, Sequential decisions,,,,,,,
, Independent Cashflows,,,,,,,
, Accept-Reject Proposal,,,,,,,
,,,,,,,,
11,Cost of Capital refers to,C,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Flotation Cost,,,,,,,
, Dividend,,,,,,,
, Required Rate of Return,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
12,Which of the following sources of funds has an Implicit Cost of Capital?,D,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Equity Share Capital,,,,,,,
, Preference Share Capital,,,,,,,
, Debentures,,,,,,,
, Retained earnings,,,,,,,
,,,,,,,,
13,Which of the following has the highest cost of capital?,A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Equity shares,,,,,,,
, Loans,,,,,,,
, Bonds,,,,,,,
, Preference Shares,,,,,,,
,,,,,,,,
14,Cost of Capital for Government securities is also known as,A,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Risk-free Rate of Interest,,,,,,,
, Maximum Rate of Return,,,,,,,
, Rate of Interest on Fixed Deposits,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
15,Cost of Capital for Bonds and Debentures is calculated on:,B,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Before Tax basis,,,,,,,
, After Tax basis,,,,,,,
, Risk-free Rate of Interest basis,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
16,Weighted Average Cost of Capital is generally denoted by,C,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, kA,,,,,,,
, kW,,,,,,,
, K0,,,,,,,
,kc,,,,,,,
,,,,,,,,
17,Which of the following cost of capital require tax adjustment?,C,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, Cost of Equity Shares,,,,,,,
, Cost of Preference Shares,,,,,,,
, Cost of Debentures,,,,,,,
, Cost of Retained Earnings,,,,,,,
,,,,,,,,
18,Which is the most expensive source of funds?,A,M,Theory,Single Choice,Corporate Finance: financial analysis,,
, New Equity Shares,,,,,,,
, New Preference Shares,,,,,,,
, New Debts,,,,,,,
, Retained Earnings,,,,,,,
,,,,,,,,
19,Marginal cost of capital is the cost of,B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Additional Sales,,,,,,,
, Additional Funds,,,,,,,
, Additional Interests,,,,,,,
, None of the above,,,,,,,
,,,,,,,,
20,"In case the firm is all-equity financed, WACC would be equal to",B,E,Theory,Single Choice,Corporate Finance: financial analysis,,
, Cost of Debt,,,,,,,
, Cost of Equity,,,,,,,
, Neither (a) nor (b),,,,,,,
, Both (a) and (b),,,,,,,
