,Questions,Correct Answer,Level,Category,Type,Skills,Answer Description
,"To understand the customers, which of the following uses both psychology and demographic profiles.",B,E,Theory,Single Choice,Marketing::Segmentation:,
, Clustering,,,,,,
, Psycographics,,,,,,
, Interactionism,,,,,,
, None of the above,,,,,,
,,,,,,,
,Kumar asked his father to buy him a cycle. The role his father in case is,C,H,Theory,Single Choice,Marketing:Role:Buyer:,
, Decider,,,,,,
, Influencer,,,,,,
, Initiater,,,,,,
, Buyer,,,,,,
,,,,,,,
,Attracting potential buyers and converting non-users to customers can be done by?,D,H,Theory,Single Choice,Marketing:Role:Buyer:Techniques,
, Improving the marketing techniques,,,,,,
, Developing new products to address them,,,,,,
, Financial incentives should be offered,,,,,,
, Understanding the purchasing behavior,,,,,,
,,,,,,,
,If a consumer uses three different types of clothing brands and loyal to them. This refers to,B,H,Theory,Single Choice,Marketing:Brand Management:Brand Managementing:,
, Brand loyalty,,,,,,
, Split loyalty,,,,,,
, Hardcore loyalty,,,,,,
, Switcher,,,,,,
,,,,,,,
,"A marketing researcher wants to segment the markets based on industries and geographic locations, this segmentation involves",C,M,Theory,Single Choice,Marketing:Segmentation::,
, Operations variables,,,,,,
, Purchasing approaches,,,,,,
, Demographic variables,,,,,,
, Situational characteristics,,,,,,
,,,,,,,
,"A marketing researcher wants to segment the markets based on Urgency of delivery and order size, this segmentation involves",A,H,Theory,Single Choice,Marketing:Segmentation::,
, Situational characteristics,,,,,,
, Purchasing approaches,,,,,,
, Demographic variables,,,,,,
, Operations variables,,,,,,
,,,,,,,
,"A marketing researcher wants to segment the markets based on Technology and Customer capabilities, this segmentation involves",B,M,Theory,Single Choice,Marketing:Segmentation::,
, Situational characteristics,,,,,,
, Operations variables,,,,,,
, Demographic variables,,,,,,
, Purchasing approaches,,,,,,
,,,,,,,
,"A marketing researcher wants to segment the markets based on Loyalty and Risk attitude, this segmentation involves",D,M,Theory,Single Choice,Marketing:Segmentation::,
, Situational characteristics,,,,,,
, Operations variables,,,,,,
, Demographic variables,,,,,,
, Personal characteristics,,,,,,
,,,,,,,
,"A marketing researcher wants to segment the markets based on Nature of existing relationship and power structure, this segmentation involves",C,H,Theory,Single Choice,Marketing:Segmentation::,
, Situational characteristics,,,,,,
, Demographic variables,,,,,,
, Operations variables,,,,,,
, Purchasing approaches,,,,,,
,,,,,,,
,Which of the following segmentation step used by market researcher to evaluate Market growth and market access while doing Segmentation.?,B,H,Theory,Single Choice,Marketing:Segmentation::,
, Segment identification,,,,,,
, Segment attractiveness,,,,,,
, Segment acid test,,,,,,
, Segmentation based on needs,,,,,,
,,,,,,,
,"Which of the following segmentation step used by market researcher to evaluate Lifestyles, demographics and usage behavior while doing Segmentation.?",A,M,Theory,Single Choice,Marketing:Segmentation::,
, Segment identification,,,,,,
, Segment attractiveness,,,,,,
, Segment acid test,,,,,,
, Segmentation based on needs,,,,,,
,,,,,,,
,"In which of the following marketing techniques, segment differences are ignored?",C,E,Theory,Single Choice,Marketing:Segmentation::,
, Guerilla marketing,,,,,,
, Differentiated marketing,,,,,,
, Mass marketing,,,,,,
, Niche marketing,,,,,,
,,,,,,,
,Marketers generally recognize niches,B,M,Theory,Single Choice,Marketing:Segmentation::Niche,
, Producing the products with variable usage,,,,,,
, Segments are divided into subsegments,,,,,,
, Analysing demographics,,,,,,
, None of the above,,,,,,
,,,,,,,
,"Being in different segments, company produces different products for each segment. It is called as",C,E,Theory,Single Choice,Marketing:Segmentation::,
, Concentrated marketing,,,,,,
, Individual marketing,,,,,,
, Differentiated marketing,,,,,,
, Niche marketing,,,,,,
,,,,,,,
,Which of the following contains all information and procedures so that managers can easily access the information,A,E,Theory,Single Choice,Marketing:Information:Systems:,
, Marketing Intelligence System,,,,,,
, Company Internal record,,,,,,
, Sales information system,,,,,,
, None of the above,,,,,,
,,,,,,,
,The process of interpreting the available information in a that will fit our presumptions?,D,H,Theory,Single Choice,Marketing:Information:Systems:,
, Selective embellishment,,,,,,
, Selective retention,,,,,,
, Subliminal perception,,,,,,
, Selective distortion,,,,,,
,,,,,,,
,Which of the following theory says that people generally to attribute success to themsleves and failures to others.,B,H,Theory,Single Choice,Marketing:Attributes:Theory:,
, Genralization theory,,,,,,
, Hedonic bias theory,,,,,,
, Trait role theory,,,,,,
, Awareness set theory,,,,,,
,,,,,,,
,Are franchisees always small owner managed businesses? TRUE or FALSE,B,E,Reasoning,Single Choice,Marketing:Franchise:Service:,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,Are market segments created by marketers? TRUE or FALSE,B,E,Reasoning,Single Choice,Marketing::Segmentation:,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,Niche marketing is also called as concentrated marketing? TRUE or FALSE,A,E,Reasoning,Single Choice,Marketing:Niche::,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,Intangible nature of products or services pose a different challenge to marketers? TRUE or FALSE,A,M,Reasoning,Single Choice,Marketing:Distribution:Channel Management:,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,Many of the world's leading brands share a common quality because they are invulnerable to attach due to support from the market place? TRUE or FALSE,B,H,Reasoning,Single Choice,Marketing:Brand Management::,
, TRUE,,,,,,
, FALSE,,,,,,
,,,,,,,
,A company tries to capture large piece of market share it launches huge offensive attack on several fronts and it is called as encirclement strategy. TRUE/FALSE,A,M,Reasoning,Single Choice,Marketing:Growth:Strategies:,
, True,,,,,,
, False,,,,,,
,,,,,,,
,The main aim Introduction phase of product is to capture large market share (TRUE/FALSE),B,E,Reasoning,Single Choice,Marketing:Product Management: :,
, True,,,,,,
, False,,,,,,
,,,,,,,
,Continuous innovation is the key to protect market share (TRUE/FALSE),A,M,Reasoning,Single Choice,Marketing:Product Management: :,
, True,,,,,,
, False,,,,,,
,,,,,,,
,Local marketing indicates the growing trend (macro marketing)? Is it TRUE or FALSE,B,E,Reasoning,Single Choice,Marketing:Trend::,
, True,,,,,,
, False,,,,,,
,,,,,,,
,People in the same geographic location exhibit similar behavior. ( TRUE or FALSE),B,E,Reasoning,Single Choice,Marketing:Segmentation::,
, True,,,,,,
, False,,,,,,
