,Question,Answer,Level,Category,Type,Type,Answer Description
,"Which of the following is true for futures
 I) Arithmetic return is overly optimistic for long term
 II) Arithmetic return is overly optimistic for short term
 III) Geometric return is overly optimistic for short term
 IV) Geometric return is overly optimistic for Long term",C,H,Theory,Single Choice,Investment Banking,
,Only I,,,,,,
,Only II & IV,,,,,,
,Only I & III,,,,,,
,Only III,,,,,,
,,,,,,,
,Which of the following is not a money market instrument,B,E,Theory,Single Choice,Investment Banking,
,Treasury bills,,,,,,
,Corporate Bonds,,,,,,
,Commercial papers,,,,,,
,None of the above,,,,,,
,,,,,,,
,Arrange the following in correct order,C,M,logical,Single Choice,Investment Banking,
,Holding Period Return> Geometric Return> Arithmetic Return,,,,,,
,Arithmetic Return> Holding Period Return> Geometric Return,,,,,,
,Holding Period Return> Arithmetic Return> Geometric Return,,,,,,
,Arithmetic Return> Geometric Return> Holding Period Return,,,,,,
,,,,,,,
,Risk-Return trade off will be highest for,C,H,Theory,Single Choice,Investment Banking,
,Treasury bonds,,,,,,
,Mature company stocks,,,,,,
,Small company stocks,,,,,,
,Treasury bills,,,,,,
,,,,,,,
,Which of the following statements is true,C,M,Theory,Single Choice,Investment Banking,
,Futures is traded over the counter,,,,,,
,Futures can be privately negotiated,,,,,,
, It is an obligation for the buyer of the futures contract,,,,,,
, It is a right and not an obligation,,,,,,
,,,,,,,
,What does ARC stand for,A,M,GK,Single Choice,Investment Banking,
,Accounts Receivable Conversion,,,,,,
,Accounts Receivable Check,,,,,,
,Accounts Receivable Clearance,,,,,,
,Accounts Receivable Compliance,,,,,,
,,,,,,,
,Beta measures the,A,E,Theory,Single Choice,Investment Banking,
,Systematic Risk,,,,,,
,Unsystematic Risk,,,,,,
,Total Risk,,,,,,
,None,,,,,,
,,,,,,,
,"For a well diversified portfolio,",A,E,Theory,Single Choice,Investment Banking,
,Unsystematic risk is less,,,,,,
,Unsystematic risk is huge,,,,,,
,Total risk is less,,,,,,
,Systematic risk is less,,,,,,
,,,,,,,
,Which phone company did Vodafone buy to make it the largest phone company in the world in the 2000s,C,E,GK,Single Choice,Investment Banking,
,Nextel,,,,,,
,Cingular,,,,,,
,Mannemann,,,,,,
,Idea,,,,,,
,,,,,,,
,"Calculate EVA

 Average Debt: Rs. 40000
 Average Equity (including Retained Earnings): Rs. 60000
 Average Preference Shares: Rs. 10000
 Cost of Debt: 7% (post-tax)
 Cost of Equity: 10.12%
 Cost of Preference Shares: 6.67%
 PAT: Rs. 53,900
 Interest: Rs. 4,000
 Tax rate: 30%
 Other income: Rs. 1,000",A,M,Numerical,Single Choice,Investment Banking,
,"Rs. 46,461",,,,,,
,"Rs. 46,000",,,,,,
,"Rs. 26,500",,,,,,
,None of the above,,,,,,
,,,,,,,
,"Which of the following components of the DuPont System for Hill Inc. is correct? 
sales =$5,600
earnings before tax (EBT) = $2,090
T = 40 percent
total liability = $30,900
 Equity = $16,500.",B,M,Numerical,Single Choice,Investment Banking,
,Asset Turnover= 11.81%,,,,,,
,Leverage= 1.87,,,,,,
,Net Profit Margin= 20%,,,,,,
,ROE= 6.7%,,,,,,
,,,,,,,
,"Inc. has preference shares of $100 par value on which it paid $10 per share annual dividend. The preferred stock has a current market price of $96 a share. The firm's marginal tax rate (combined federal and state) is 40 percent.
 Find the cost of preference shares to the company",B,M,Numerical,Single Choice,Investment Banking,
,10%,,,,,,
,10.40%,,,,,,
,6.25%,,,,,,
,6%,,,,,,
,,,,,,,
,"As a firm's cash conversion cycle increases, the firm",B,M,Theory,Single Choice,Investment Banking,
,Becomes less profitable,,,,,,
,Increases the investment in working capital,,,,,,
,Reduces its Account Payable period,,,,,,
,Increases its Account Receivable period,,,,,,
,,,,,,,
,"Watch Windmill Company is considering a project that calls for an initial cash outlay of $50,000. The expected net cash inflows from the project are $7,791 for each of 10 years. What is the IRR of the project",C,M,Numerical,Single Choice,Investment Banking,
,6%,,,,,,
,8%,,,,,,
,9%,,,,,,
,10%,,,,,,
,,,,,,,
,"The company cost of capital for a firm with a 60/40 debt/equity split, 8% cost of debt, 15% cost of equity, and a 35% tax rate would be",B,E,Numerical,Single Choice,Investment Banking,
,7.02%,,,,,,
,9.12%,,,,,,
,13.80%,,,,,,
,10.20%,,,,,,
,,,,,,,
,State which of the following is not true for a pitchbook,A,E,Theory,Single Choice,Investment Banking,
,It gives details about the prospective client of the investment bank,,,,,,
,It details the number of successful IPOs it has had,,,,,,
,It gives details about the investment bank's financial strength,,,,,,
,It helps the investment bank to sell its services to a firm,,,,,,
,,,,,,,
,What do you mean by Casino banking/ finance,A,E,GK,Single Choice,Investment Banking,
,Investment approach in which investors at commercial banks employ risky financial strategies to earn large rewards,,,,,,
,Investment approach in which investors at commercial banks employ risk free financial strategies to earn large rewards,,,,,,
,Investment approach in which investors at commercial banks employ risk free financial strategies to earn average rewards,,,,,,
,investment approach in which investors at commercial banks employ risky financial strategies to earn average rewards,,,,,,
,,,,,,,
,"The Beta value of Joka Inc. is 2. The risk free rate is 5% and the expected return on the market portfolio is 15%. The company recently paid an annual dividend of $10 per share, and investors expect it to experience a growth in dividends of 7.5% per annum for many years to come. What is the stock’s present market price per share, assuming the required rate of return is determined by the CAPM?",C,M,Numerical,Single Choice,Investment Banking,
,39.09,,,,,,
,57.14,,,,,,
,61.43,,,,,,
,86.01,,,,,,
,,,,,,,
,"Rich Industries currently pays a dividend of $4. Richie Rich Jr. has asked an analyst to value his company. The analyst forecasts growth of 7% for the next four years, followed by 5% growth in perpetuity. The required return is 10%. Calculate the current value per share of Rich Industries as per the analyst",A,M,Numerical,Single Choice,Investment Banking,
,83.31%,,,,,,
,90.14%,,,,,,
,90%,,,,,,
,91%,,,,,,
,,,,,,,
,Company A decides to purchase a 30 Yr-bond with face value of $1000 for $700 at a date 15 Yrs from the issue. The coupon is $30. The Yield to Maturity is,B,E,Numerical,Single Choice,Investment Banking,
,3.88%,,,,,,
,5.88%,,,,,,
,6.00%,,,,,,
,5.00%,,,,,,
,,,,,,,
,Organisations growing through buying other companies is said to expand through the following method,A,M,Theory,Single Choice,Investment Banking,
,Inorganic,,,,,,
,Divestiture,,,,,,
,Brownfield expansion,,,,,,
,Spin out,,,,,,
,,,,,,,
,"What are the likely effects of a US Fed rate hike

 I) Capital Outflow from developing countries
 II) Stock market in India will react positively
 III) U.S. Bond prices will fall
 IV) Weakening of Rupee",C,H,Logical,Single Choice,Investment Banking,
,Only I,,,,,,
,Only I & II,,,,,,
,Only I and IV,,,,,,
,Only II and III,,,,,,
,,,,,,,
,"The valuation done by you for 4 companies, and their market prices are given below. Which stock will you give a ‘BUY’ recommendation?",A,M,logical,Single Choice,Investment Banking,
,"ABC- Fundamental value: 140, Market Value: 125",,,,,,
,"XYZ- Fundamental Value: 70, Market Value: 58",,,,,,
,"AXXA- Fundamental Value: 85, Market Value: 80",,,,,,
,"Beta- Fundamental Value: 110, Market Value: 110",,,,,,
,,,,,,,
,The IRR of a project is 15% and the required rate of interest is 12%. What should the company do,A,H,logical,Single Choice,Investment Banking,
,Accept the project,,,,,,
,Reject the project,,,,,,
,Outlay amount missing,,,,,,
,The company will be neutral,,,,,,
,,,,,,,
,"Give the correct order on the basis of risk, ie, higher the risk higher the instrument's rank in the order",B,H,logical,Single Choice,Investment Banking,
,US treasury bonds> Debentures> Mortgage bonds> Preference Shares,,,,,,
,US treasury bonds> Mortgage bonds> Debentures> Preference shares,,,,,,
,Debentures> Mortgage bonds> Preference shares> Equity shares,,,,,,
,Mortgage bonds> Debentures> Equity shares> Preference shares,,,,,,
,,,,,,,
,What does AIM stand for,A,M,Gk,Single Choice,Investment Banking,
,Alternative Investment Market,,,,,,
,Alternative Investment Money,,,,,,
,Alternative Investment Measure,,,,,,
,Alternative Investment Means,,,,,,
,,,,,,,
,Which of the following is not true about PE ratio,C,M,Theory,Single Choice,Investment Banking,
,A high PE ratio suggests that the company is overvalued,,,,,,
,PE ratio of Rs.20 suggests that an investor is ready to bay Rs.20 to have an earning of Re.1,,,,,,
,A high PE ratio suggests that the company is undervalued,,,,,,
,PE ratio doesn't factor the growth expectations of a company,,,,,,
,,,,,,,
,Which of these stocks are not listed on NASDAQ,B,E,GK,Single Choice,Investment Banking,
,IBM,,,,,,
,ICICI,,,,,,
,Microsoft,,,,,,
,Sify Technologies,,,,,,
,,,,,,,
,"Find out the cost of equity of a company from the given data.

 WACC – 13.68%
 Weight of equity in total capital – 0.6
 Weight of debt in total capital – 0.4
 The company has issued debt at 18% and corporate tax is 35%",B,M,Numerical,Single Choice,Investment Banking,
,Beta missing,,,,,,
,15%,,,,,,
,10.80%,,,,,,
,Risk premium is missing,,,,,,
,,,,,,,
,"As interest rates rise, bond prices ___ and the longer their maturities, the ____ the price changes",A,E,logical,Single Choice,Investment Banking,
,"Fall, more",,,,,,
,"Fall, less",,,,,,
,"Rise, More",,,,,,
,"Rise, Less",,,,,,
,,,,,,,
,"A company had a 3-1 stock split. If the share price before the split was Rs. 67.5, what would be the price after the split?",D,E,Numerical,Single Choice,Investment Banking,
,Rs.50,,,,,,
,Rs.67.5,,,,,,
,Rs.33.75,,,,,,
,Rs.22.5,,,,,,
,,,,,,,
,"Raju tells his friend Sonu that he used an equity risk premium of 12% while valuing the stock of a company. Sonu feels that Raju has overestimated the premium. This means that, Raju",B,E,logical,Single Choice,Investment Banking,
,Overvalued the stock,,,,,,
,Undervalued the stock,,,,,,
,Has rightly valued the stock,,,,,,
,None of these,,,,,,
,,,,,,,
,"Goutham Raj and Vaibhav Jhawar are working in an Institutional Research firm. They are doing research on a company Finex, for their client, Aarunya Ltd. (who wishes to acquire Finex). Vaibhav went to Finex, to discuss their financials, business plans and strategies . Goutham Raj on the other end analyses the financial statements and performance of the company with respect to Industry trends. Based on the above information which of the following is true?",C,M,logical,Single Choice,Investment Banking,
,Goutham Raj is doing Front end research; Vaibhav is doing Back end research; This research is SELL-side.,,,,,,
,Goutham Raj is doing Front end research; Vaibhav is doing Back end research; This research is BUY-side.,,,,,,
,Vaibhav is doing Front end research; Goutham Raj is doing Back end research; This research is BUY-side.,,,,,,
,Vaibhav is doing Front end research; Goutham Raj is doing Back end research; This research is SELL-side.,,,,,,
,,,,,,,
,State which of the following is true,A,H,Theory,Single Choice,Investment Banking,
,Delta is positive for call options and negative for put options,,,,,,
,Delta generally ranges from 0 to 1 or -100 to 100,,,,,,
,Gamma may or may not be positive for both call and put options,,,,,,
,Long call option investors expect the price to fall in future,,,,,,
,,,,,,,
,Which of the following is not a candlestick pattern,D,M,Theory,Single Choice,Investment Banking,
,Three Black Crows,,,,,,
,Harami,,,,,,
,Doji,,,,,,
,RSI,,,,,,
,,,,,,,
,The stock price of a company is Rs.40 currently. It announced a dividend of Rs. 2 the next year which increased the stock price to Rs.42. The company paid the dividend of Rs.2. the expected growth rate is 8%. Find the expected rate of return,A,M,Numerical,Single Choice,Investment Banking,
,13.00%,,,,,,
,13.40%,,,,,,
,12.76%,,,,,,
,None of these,,,,,,
,,,,,,,
,Buyback has the same effect as:,A,M,Theory,Single Choice,Investment Banking,
,Accelerated Share Repurchase,,,,,,
,Stock Split,,,,,,
,Stock Dividend,,,,,,
,Bonus Issue,,,,,,
,,,,,,,
,"NOPAT is calculated as:

 I) EBIT-Taxes
 II) PAT+Depreciation+Interest(after taxes)-other income(after taxes)
 III) PAT+Interest(after taxes)-other income(after taxes)
 IV) PAT+Interest(before taxes)-other income(before taxes)",C,H,Theory,Single Choice,Investment Banking,
,Only I,,,,,,
,Only III,,,,,,
,Only I and III,,,,,,
,Only II,,,,,,
,,,,,,,
,FCFF is calculated as,C,M,Theory,Single Choice,Investment Banking,
,PAT+Depreciation-Interest(after tax)-Capex-Net working Capital,,,,,,
,PAT+Depreciation+Interest(after taxes)-Capex+Net working capital,,,,,,
,PAT+Interest(after taxes)-Capex+Net working capital,,,,,,
,PAT+Depreciation-Capex-Net working capital,,,,,,
,,,,,,,
,Which of the following is true for a DGM,A,M,Theory,Single Choice,Investment Banking,
,Growth rate should be less than the required rate of return,,,,,,
,Growth rate should be equal to the required rate of return,,,,,,
,Growth rate should be more to the required rate of return,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is false,D,H,Theory,Single Choice,Investment Banking,
,Tax shield reduces the value of WACC,,,,,,
,Tax shield increases the value of the firm,,,,,,
,Tax shield reduces the required rate on equity,,,,,,
,Tax shield has no effect on the value of the firm,,,,,,
,,,,,,,
,What does AER stand for,A,E,GK,Single Choice,Investment Banking,
,Annual Equivalent Rate,,,,,,
,Annual Equivalent Ratio,,,,,,
,Adaptive Equivalent Rate,,,,,,
,Adaptive Equivalent Ratio,,,,,,
,,,,,,,
,the feature that makes Price/Sales multiple for stock valuation sensible is:,B,H,Theory,Single Choice,Investment Banking,
,Profit margins are normally consistent across firms within an industry,,,,,,
,"Sales are relatively stable and might not change, thus giving stability to stock price, even though earnings might change significantly",,,,,,
,P/S multiple provides a framework to evaluate the effects of corporate policy decisions and price changes,,,,,,
,All of the above,,,,,,
,,,,,,,
,Trade-off MCQ states that,A,H,Theory,Single Choice,Investment Banking,
,there is no target D/E ratio,,,,,,
,A Firm prefers to issue debt instead of equity in case of internal financing falls short,,,,,,
,A firm has a set D/E ratio,,,,,,
,Profitable firms use more debt,,,,,,
,,,,,,,
,What was the largest mergers and acquisitions in the 2000s,B,E,GK,Single Choice,Investment Banking,
,JPMorgan Chase & Co and Bank One Corporation,,,,,,
,AOL and Time Warner,,,,,,
,Comcast Corporations and AT&T Broadband,,,,,,
,Microsoft and Nokia,,,,,,
,,,,,,,
,"A project’s initial cost is $100 million, and the required rate of return is 10%. Following is the cash inflow for subsequent years: • Year 1: $ 20 million • Year 2: $ 50 million • Year 3: $ 40 million Calculate the NPV and determine whether we should accept or reject the project.",C,E,Numerical,Single Choice,Investment Banking,
,"$12.48, Accept",,,,,,
,"-$12.48, Accept",,,,,,
,"-$12.48, Reject",,,,,,
,"$12.48, Reject",,,,,,
,,,,,,,
,Positive NPV ____,A,E,Theory,Single Choice,Investment Banking,
,tend to be rare in a highly competitive market,,,,,,
,tend to be rare in a monopolistic market,,,,,,
,"are common for firms in old, well-established markets",,,,,,
,None of the following,,,,,,
,,,,,,,
,"The LMN Corporation is considering an investment that will cost $80,000 and have a useful life of 4 years. During the first 2 years, the net incremental after-tax cash flows are $25,000 per year and for the last two years they are $20,000 per year. What is the payback period for this investment?",B,E,Numerical,Single Choice,Investment Banking,
,3.2 years,,,,,,
,3.5 years,,,,,,
,3 years,,,,,,
,4 years,,,,,,
,,,,,,,
,"What will be the category of company, whose stock could most suitably be valued using. The constant-growth dividend discount model:",C,H,Theory,Single Choice,Investment Banking,
,Rapidly growing company,,,,,,
,Start up,,,,,,
,Mature company,,,,,,
,None of these,,,,,,
,,,,,,,
,Who did Microsoft recently buy for $26.2bn,C,E,GK,Single Choice,Investment Banking,
,Nokia,,,,,,
,Snapchat,,,,,,
,LinkedIn,,,,,,
,Skype,,,,,,
,,,,,,,
,"Calculate Treynor Ratio

 Risk free return: 14%
 Average portfolio return: 16%
 Beta of the portfolio: 1.6",D,H,Numerical,Single Choice,Investment Banking,
,2.25,,,,,,
,3.5,,,,,,
,1.5,,,,,,
,1.25,,,,,,
,,,,,,,
,Arrange the following costs,B,H,Theory,Single Choice,Investment Banking,
,WACC>Cost of equity>Cost of Debt,,,,,,
,Cost of Equity>WACC>Cost of Debt,,,,,,
,Cost of Debt>WACC>Cost of equity,,,,,,
,Cost of Debt>Cost of Equity>WACC,,,,,,
,,,,,,,
,"ABC Co., has estimated that a proposed project's 10-year annual net cash benefit, received each year end, will be $3,500 with an additional terminal benefit of $5,500 at the end of the tenth year. Assuming that these cash inflows satisfy exactly BackInSoon's required rate of return of 7 percent, calculate the initial cash outlay.",B,M,Numerical,Single Choice,Investment Banking,
,"$27,000",,,,,,
,"$27,378",,,,,,
,"$25,370",,,,,,
,"$25,200",,,,,,
,,,,,,,
,The EBIT of a firm is Rs.153.85 in perpetuity and corporate tax rate is 35%. It is considering a capital restructuring to allow ₹200 of debt. Cost of debt is 10% and unlevered firms in airline industry have a cost of equity capital of 20%. What will be Value of levered firm?,C,M,Numerical,Single Choice,Investment Banking,
,Rs.600,,,,,,
,Rs.500,,,,,,
,Rs.570,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is not true,C,M,Theory,Single Choice,Investment Banking,
,Beta of 1 represents that the stock movement would be the same as the movement in the market,,,,,,
,Beta of 1 represents that the stock has the same risk as overall market and will earn market return,,,,,,
,Beta below 1 means that the stock has a below average return and above average return,,,,,,
,Beta above 1 means that the stock has an above average risk and return,,,,,,
,,,,,,,
,"If we use Weighted average cost of capital of a company to evaluate a specific project we might risk

 I) Rejecting a high risk project
 II) Accepting a high risk project
 III) Rejecting a low return project
 IV) Accepting a low return project",C,H,logical,Single Choice,Investment Banking,
,Only I,,,,,,
,Only IV,,,,,,
,Only II and III,,,,,,
,Only I and IV,,,,,,
,,,,,,,
,For what value of Correlation(R) is the risk most diversified,A,M,Theory,Single Choice,Investment Banking,
,-1,,,,,,
,0,,,,,,
,1,,,,,,
,0.5,,,,,,
,,,,,,,
,Which of the following is a diversifiable risk,C,E,Theory,Single Choice,Investment Banking,
,A bad monsoon,,,,,,
,Change in Interest Rates,,,,,,
,Resignation of the CEO of the company,,,,,,
,Change in the GDP,,,,,,
,,,,,,,
,What is the effect on WACC of tax shield,B,M,Theory,Single Choice,Investment Banking,
,It reduces the WACC,,,,,,
,It increases the WACC,,,,,,
,WACC remains the same,,,,,,
,None of the above,,,,,,
,,,,,,,
,What does CAR stand for,A,M,Theory,Single Choice,Investment Banking,
,Capital Adequacy Ratio,,,,,,
,Capital Adequacy Rate,,,,,,
,Capital adjustment Ratio,,,,,,
,Capital Adjustment Rate,,,,,,
,,,,,,,
,What is a precedent transaction analysis?,B,H,Theory,Single Choice,Investment Banking,
,An analysis that examines the ratios and percentages of transactions.,,,,,,
,An analysis that examines the ratios and percentages of publicly traded companies.,,,,,,
,An analysis that examines the ratios and percentages of comparable bond offerings.,,,,,,
,An analysis that examines the ratios and percentages of comparable transactions.,,,,,,
,,,,,,,
,Which of the following is true,C,M,Theory,Single Choice,Investment Banking,
,Deep in the money is an option with a strike price above the market price of the underlying asset for a call option,,,,,,
,Deep in the money is an option with a strike price below the market price for a put option,,,,,,
,Deep out of the money is an option with the strike price below the market price for a put option,,,,,,
,Deep out of the money is an option with a strike price below the market price for a call option,,,,,,
,,,,,,,
,How much did QualComm buy Cambridge Silicon Radio for?,B,E,GK,Single Choice,Investment Banking,
,10bn pound,,,,,,
,2 bn pound,,,,,,
,19.5bn pound,,,,,,
,41bn pound,,,,,,
,,,,,,,
,"EBIT of a firm for perpetuity is Rs.975,000 and the corporate tax rate is 35%. The unlevered rate of return is 12%. Find the value of the firm",A,M,Numerical,Single Choice,Investment Banking,
,"52,81,250",,,,,,
,"50,00,000",,,,,,
,"81,25,000",,,,,,
,"28,43,750",,,,,,
,,,,,,,
,Pecking MCQ states that ___,B,E,Theory,Single Choice,Investment Banking,
,Firm prefers to issue debt over equity to finance a project even if sufficient internal financing is available,,,,,,
,Firm tends to use its internal sourcing first,,,,,,
,Firms prefer to issue equity over debt to finance a project,,,,,,
,None of the following,,,,,,
,,,,,,,
,"Consider a government-sponsored project that guarantees Rs.350 in one period. Cost of investment is Rs.300 (the firm only has Rs.200 now), so the stockholders will have to supply an additional Rs.100 to finance the project. Required return is 10%.",B,M,Numerical,Single Choice,Investment Banking,
,"Rs.18.18, Reject",,,,,,
,"Rs.18.18, Accept",,,,,,
,"-Rs.18, Reject",,,,,,
,"-Rs.18, Accept",,,,,,
,,,,,,,
,"Beta of Debt: 0.2
 Beta of Asset: 1..2
 D/E: 1.5

 Calculate Beta of Equity",D,M,Numerical,Single Choice,Investment Banking,
,1.67,,,,,,
,1,,,,,,
,1.5,,,,,,
,1.87,,,,,,
,,,,,,,
,Which video conferencing rival did Cisco acquire for 25.2bn pound,C,E,GK,Single Choice,Investment Banking,
,Mikogo,,,,,,
,Skype,,,,,,
,Tandberg,,,,,,
,InterCall,,,,,,
,,,,,,,
,Which of the following is a undiversifiable risk:,A,E,Theory,Single Choice,Investment Banking,
,Change in Governor of RBI,,,,,,
,Lockout at the firm,,,,,,
,Change in the management of the firm,,,,,,
,All of the above,,,,,,
,,,,,,,
,"Find the value of the levered firm:

 Beta: 1.2
 Industry D/E: 2/3
 T: 30%
New D/E: 3/2",A,M,Numerical,Single Choice,Investment Banking,
,1.677,,,,,,
,2.25,,,,,,
,1.76,,,,,,
,2.46,,,,,,
,,,,,,,
,"The following information for a company is available:- 
 Risk-free rate = 7.00% 
 Expected market return = 15.00% 
 Beta = 1.50 
 Dividend payout ratio = 50% 
 Profit margin = 10.0% 
 Total asset turnover = 0.75 
 Assets to equity ratio = 2.00 

 What is the capital asset pricing model (CAPM) required rate of return for this stock?",C,M,Numerical,Single Choice,Investment Banking,
,10.73%,,,,,,
,16%,,,,,,
,19%,,,,,,
,None of the above,,,,,,
,,,,,,,
,Which of the following is/are derivative securities,D,E,Theory,Single Choice,Investment Banking,
,swap contract,,,,,,
,option contract,,,,,,
,futures contract,,,,,,
,all of above,,,,,,
,,,,,,,
,Maximum maturity for holding commercial paper is:,B,M,Theory,Single Choice,Investment Banking,
,170 days,,,,,,
,270 days,,,,,,
,120 days,,,,,,
,5 days,,,,,,
,,,,,,,
,Treasury notes for which returns are tied to inflation,D,M,Theory,Single Choice,Investment Banking,
,clean price bonds,,,,,,
,discount index bonds,,,,,,
,premium index bonds,,,,,,
,inflation index bonds,,,,,,
,,,,,,,
,Name the contract which involves immediate exchange of funds and assets,A,E,Theory,Single Choice,Investment Banking,
,spot contract,,,,,,
,forward contract,,,,,,
,future contracts,,,,,,
,present contract,,,,,,
,,,,,,,
,"Find the cost of equity using CAPM ( Rf=10%, Rm= 20% Beta= 1.5)",C,E,Numerical,Single Choice,Investment Banking,
,35%,,,,,,
,20%,,,,,,
,25%,,,,,,
,15%,,,,,,
,,,,,,,
,Cost of common stock is 16% and bond risk premium is 10% then bond yield would be,C,E,Numerical,Single Choice,Investment Banking,
,INR 18,,,,,,
,2.60%,,,,,,
,5%,,,,,,
,18%,,,,,,
,,,,,,,
,Beta calculated using regression slope coefficient is called,A,M,Theory,Single Choice,Investment Banking,
,historical beta,,,,,,
,market beta,,,,,,
,coefficient beta,,,,,,
,riskier beta,,,,,,
,,,,,,,
,If payout ratio is 0.55 the retention ratio will be,D,E,Theory,Single Choice,Investment Banking,
,0.55,,,,,,
,1.45,,,,,,
,1.82,,,,,,
,0.45,,,,,,
,,,,,,,
,"Calculate the value of a stock. (Cost of equity=10%, expected dividend D1= 10 and expected growth rate is 8% )",D,M,Numerical,Single Choice,Investment Banking,
,INR 20,,,,,,
,22.29%,,,,,,
,0.1428,,,,,,
,INR 50,,,,,,
,,,,,,,
,"Market price of a stock INR 50, expected dividend is INR 5 and expected growth rate is 10%. Find the cost of equity",B,M,Numerical,Single Choice,Investment Banking,
,INR 40,,,,,,
,20%,,,,,,
,5%,,,,,,
,15%,,,,,,
,,,,,,,
,A type of beta which takes into account changes in capital structure is,B,H,Theory,Single Choice,Investment Banking,
,industry beta,,,,,,
,market beta,,,,,,
,subtracted beta,,,,,,
,fundamental beta,,,,,,
,,,,,,,
,A type of risk which is inherent and cannot be diversified,B,M,Theory,Single Choice,Investment Banking,
,unsystematic risk,,,,,,
,systematic risk,,,,,,
,total risk,,,,,,
,capital risk,,,,,,
,,,,,,,
,What does LIBOR stand for?,B,E,GK,Single Choice,Investment Banking,
,London intra bank offered rate,,,,,,
,London interbank offered rate,,,,,,
,Luxemburg interbank offered rate,,,,,,
,Loanable intra bank rate,,,,,,
,,,,,,,
,Preferred dividend is INR 25 and required rate of return is 5% then value of preferred stock would be,C,M,Numerical,Single Choice,Investment Banking,
,20%,,,,,,
,INR 100,,,,,,
,INR 500,,,,,,
,INR 52.50,,,,,,
,,,,,,,
,Dividend present value for period of non-constant growth in addition with horizon value is used to calculate,B,M,Theory,Single Choice,Investment Banking,
,stock extrinsic value,,,,,,
,stock intrinsic value,,,,,,
,dividend intrinsic value,,,,,,
,stock intrinsic value,,,,,,
,,,,,,,
,An efficient market hypothesis states all public information which is reflected in current market prices is classified as,D,M,Theory,Single Choice,Investment Banking,
,weak form efficiency,,,,,,
,strong form efficiency,,,,,,
,market efficiency,,,,,,
,semi strong efficiency,,,,,,
,,,,,,,
,An expected dividend yield is 6.5% and expected rate of return is 11.5%. Find constant growth rate,D,E,Numerical,Single Choice,Investment Banking,
,3.05%,,,,,,
,5%,,,,,,
,18%,,,,,,
,6%,,,,,,
,,,,,,,
,What is the full form of LAF,B,M,GK,Single Choice,Investment Banking,
,Life Assurance Facility,,,,,,
,Liquid Adjustment Facility,,,,,,
,Liquid Asset Factor,,,,,,
,Limited Asset Facility,,,,,,
,,,,,,,
,What is the full form of BIS in the context of financial markets,B,M,GK,Single Choice,Investment Banking,
,Bureau of International Standard,,,,,,
,Business of International Standard,,,,,,
,Bank of International Settlement,,,,,,
,Bank for International Settlement,,,,,,
,,,,,,,
,What is the full form of MTM,A,E,Theory,Multiple Choice,Investment Banking,
,Mark To Market,,,,,,
,Market to market,,,,,,
,Made to Market,,,,,,
,Made to Mark,,,,,,
,,,,,,,
,Which of the following are the market participants? Select all that apply,A:C,E,Theory,Multiple Choice,Investment Banking,
,Brokers,,,,,,
,SAT,,,,,,
,Depositories,,,,,,
,Government,,,,,,
,,,,,,,
,Which process is developed by Indian stock market regulator SEBI for Applying to IPO?,B,M,Theory,Single Choice,Investment Banking,
,ISBA,,,,,,
,ASBA,,,,,,
,NCFM,,,,,,
,ESBA,,,,,,
,,,,,,,
,"How many companies data is used in calculation of SENSEX, NIFTY indices of India?",A,E,GK,Single Choice,Investment Banking,
,"30,50",,,,,,
,35100,,,,,,
,"100,35",,,,,,
,"50,30",,,,,,
,,,,,,,
,What is the name of Japan's stock exchange?,A,E,GK,Single Choice,Investment Banking,
,Nikkei,,,,,,
,NASDAQ,,,,,,
,Dow Jones,,,,,,
,NYSE,,,,,,
,,,,,,,
,Which stock market was in news recently for a judgement by supreme court to be closed down?,C,E,GK,Single Choice,Investment Banking,
,Madras Stock Exchange,,,,,,
,Bombay Stock Exchange,,,,,,
,Calcutta Stock Exchange,,,,,,
,Delhi Stock Exchange,,,,,,
,,,,,,,
,The stock market index is based on,A,E,GK,Single Choice,Investment Banking,
,Some kind of average of a group of companies share price,,,,,,
,Some kind of average of a group of companies profits,,,,,,
,Some kind of average of a group of companies revenue,,,,,,
,Some kind of average of a group of companies capital,,,,,,
,,,,,,,
,Vikram Limaye is going to be the new CEO of NSE. Who has he replaced?,B,E,GK,Single Choice,Investment Banking,
,Rajesh Gopinathan,,,,,,
,Chitra Ramakrishna,,,,,,
,Naina Lal Kidwai,,,,,,
,Renu Sud,,,,,,
,,,,,,,
,Which of the following world stock exchanges were in the top five by value of transaction in 2009?,B,M,GK,Single Choice,Investment Banking,
,London Stock Exchange.,,,,,,
,Shanghai Stock Exchange.,,,,,,
,Deutsche Börse,,,,,,
,Hong Kong Exchanges.,,,,,,
,,,,,,,
,Which of the following is not a characteristic of a preference share?,A,M,Theory,Single Choice,Investment Banking,
,Ranks last for payment in the event of company liquidation.,,,,,,
,Unpaid dividend accrues until it can be paid.,,,,,,
,Do not usually have voting rights unless dividends fall into arrears.,,,,,,
,It is more like debt than a share in its characteristics.,,,,,,
,,,,,,,
,Which of the following is not a money market instrument?,A,M,Theory,Single Choice,Investment Banking,
,Bonds.,,,,,,
,Treasury bills.,,,,,,
,Certificates of deposit (CDs).,,,,,,
,Commercial paper (CP).,,,,,,
,,,,,,,
