,Question,Correct Answers,Level,Category,Type,Skills,Answer Description
,"A company needs to develop a strategy for software product development for which it has a choice of two programming languages L1 and L2. The number of lines of code (LOC) developed using L2 is estimated to be twice the LOC developed with Ll. The product will have to be maintained for five years. Various parameters for the company are given in the table below.
Parameter                                                                                                         Language L1                                         Language L2
Man years needed for development                                                                      LOC/10000                                         LOC/10000
Development cost per man year                                                                          Rs. 10,00,000                                      Rs. 7,50,000
Maintenance time                                                                                               5 years                                                     5 years
Cost of maintenance per year                                                                          Rs. 1,00,000                                              Rs. 50,000
Total cost of the project includes cost of development and maintenance. What is the LOC for L1 for which the cost of the project using L1 is equal to the cost of the project using L2?
",B,H,Numerical,Single choice,IT:,
, 4000,,,,,,
, 5000,,,,,,
, 4333,,,,,,
, 4667,,,,,,
,,,,,,,
,Which one of the following is NOT desired in a good Software Requirement Specifications (SRS) document?,D,M,Theory,Single choice,IT:,
, Functional Requirements,,,,,,
, Non-functional Requirements,,,,,,
, Goals of Implementation,,,,,,
, Algorithms for Software Implementation,,,,,,
,,,,,,,
,"What is the appropriate pairing of items in the two columns listing various activities encountered in a software life cycle?
P. Requirements Capture         1.Module Development and Integration
Q. Design                                     2.Domain Analysis
R. Implementation                    3.Structural and Behavioral Modeling
S. Maintenance                           4.Performance Tuning",B,H,Theory,Single choice,IT:,
," P-3, Q-2, R-4, S-1",,,,,,
," P-2, Q-3, R-1, S-4",,,,,,
," P-3, Q-2, R-1, S-4",,,,,,
," P-2, Q-3, R-4, S-1",,,,,,
,,,,,,,
,"The coupling between different modules of a software is categorized as follows:
I.   Content coupling
II.  Common coupling
III. Control coupling 
IV.  Stamp coupling
V.   Data coupling
Coupling between modules can be ranked in the order of strongest (least desirable) to weakest (most desirable) as follows:",A,M,Theory,Single choice,IT:,
, I-II-III-IV-V,,,,,,
, V-IV-III-II-I,,,,,,
, I-III-V -II-IV,,,,,,
, IV-II-V-III-I,,,,,,
,,,,,,,
,Which one of the following is TRUE?,C,H,Theory,Single choice,IT:,
, The requirements document also describes how the requirements that are listed in the document are implemented efficiently,,,,,,
, Consistency and completeness of functional requirements are always achieved in practice,,,,,,
, Prototyping is a method of requirements validation,,,,,,
, Requirements review is carried out to find the errors in system design,,,,,,
,,,,,,,
,"In a software project, COCOMO (Constructive Cost Model) is used to estimate",A,M,Theory,Single choice,IT:,
, effort and duration based on the size of the software,,,,,,
, size and duration based on the effort of the software,,,,,,
, effort and cost based on the duration of the software,,,,,,
," size, effort and duration based on the cost of the software",,,,,,
,,,,,,,
,A software organization has been assessed at SEI CMM Level 4. Which of the following does the organization need to practice beside Process Change Management and Technology Change Management in order to achieve Level 5?,B,M,Theory,Single choice,IT:,
, Defect Detection,,,,,,
, Defect Prevention,,,,,,
, Defect Isolation,,,,,,
, Defect Propagation,,,,,,
,,,,,,,
,Which of the following testing determines how well a product functions across a range of language?,B,M,Theory,Single choice,IT:,
, Heuristics testing,,,,,,
, Localization testing,,,,,,
, Language Testing,,,,,,
, Smoke testing,,,,,,
,,,,,,,
,Which of the following is a true statement about data flow diagram symbols?,D,H,Theory,Single choice,IT: Artificial Intelligence,
, Circles are used to represent data sources and sinks,,,,,,
, A single straight line is used to display a store or collection of data,,,,,,
, Rectangles are used to represent processes that transform data inflows into information outflows,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following languages is exclusively used for Artificial Intelligence?,C,H,Theory,Single choice,IT: Techno functional,
, Java,,,,,,
, COBOL,,,,,,
, Prolog,,,,,,
, Fortran,,,,,,
,,,,,,,
,"In the Spiral model of software development, the primary determinant in selecting activities in each iteration is",D,M,Theory,Single choice,IT: Techno functional,
, Iteration size,,,,,,
, Cost,,,,,,
, Adopted process such as Rational Unified Process or Extreme Programming,,,,,,
, Risk,,,,,,
,,,,,,,
,"Find if the following statements in the context of software testing are TRUE or FALSE.
(S1) Statement coverage cannot guarantee execution of loops in a program under test.
(S2) Use of independent path testing criterion guarantees execution of each loop in a program under test more than once.",A,H,Theory,Single choice,IT: Techno functional,
," True, True",,,,,,
," True, False",,,,,,
," False, True",,,,,,
," False, False",,,,,,
,,,,,,,
,Which of the following is an advantage of putting presentation information in a separate CSS file rather than in HTML itself?,D,M,Theory,Single choice,IT: Techno functional,
, The content becomes easy to manage,,,,,,
, Becomes easy to make site for different devices like mobile by making separate CSS files,,,,,,
, CSS Files are generally cached and therefore decrease server load and network traffic,,,,,,
, All of the above,,,,,,
,,,,,,,
,When is Computer Literacy Day celebrated?,A,-,Theory,Single choice,IT: Techno functional,
, December 2,,,,,,
, October 2,,,,,,
, December 10,,,,,,
, October 10,,,,,,
,,,,,,,
,Sequential flow of process in delivery management,A,E,Theory,Single choice,IT: Techno functional,
," Proposal, Formalization, Start up, Execution, Closure",,,,,,
," Analysis, Formalization, start up, Execution, Closure",,,,,,
," Start up, Analysis, Proposal, formalization, execution",,,,,,
, None of the above,,,,,,
,,,,,,,
,"When a computer is first turned on or restarted, a special type of absolute loader called ____ is executed",A,E,Theory,Single choice,IT: Techno functional,
, Bootstrap loader,,,,,,
, Relating loader,,,,,,
, Boot loader,,,,,,
, None of the above,,,,,,
,,,,,,,
,What is the function of an operating system?,D,E,Theory,Single choice,IT: Techno functional,
, Manages the flow of data and instructions,,,,,,
, Manages computer’s resources very efficiently,,,,,,
, Takes care of scheduling jobs for execution,,,,,,
, All of the above,,,,,,
,,,,,,,
,What is the process of encoding information in a way so that only someone with a key can decode it?,B,E,Theory,Single choice,IT: Techno functional,
, Decryption,,,,,,
, Encryption,,,,,,
, Compression,,,,,,
, None of the above,,,,,,
,,,,,,,
,"A company needs to develop digital signal processing software for one of its newest inventions. The software is expected to have 40000 lines of code. The company needs to determine the effort in person-months needed to develop this software using the basic COCOMO model. The multiplicative factor for this model is given as 2.8 for the software development on embedded systems, while the exponentiation factor is given as 1.20. What is the estimated effort in person-months?",A,-,Theory,Single choice,IT: Techno functional,
, 234.25,,,,,,
, 932.50,,,,,,
, 287.80,,,,,,
, 122.40,,,,,,
,,,,,,,
,"Which of the following statements are TRUE?
I. The context diagram should depict the system as a single bubble.
II. External entities should be identified clearly at all levels of DFDs.
III. Control information should not be represented in a DFD.
IV. A data store can be connected either to another data store or to an external entity.",C,H,Theory,Single choice,IT: Techno functional,
, II and III,,,,,,
, I and II,,,,,,
, I and III,,,,,,
," I, II and III",,,,,,
,,,,,,,
,"Match the following:
1) Waterfall model        a) Specifications can be developed incrementally
2) Evolutionary model   b) Requirements compromises are inevitable
3) Component-based    c) Explicit recognition of risk software engineering
4) Spiral development   d) Inflexible partitioning of the project into stages",B,H,Theory,Single choice,IT: Techno functional,
," 1-a, 2-b, 3-c, 4-d",,,,,,
," 1-d, 2-a, 3-b, 4-c",,,,,,
," 1-d, 2-b, 3-a, 4-c",,,,,,
," 1-c, 2-a, 3-b, 4-d",,,,,,
,,,,,,,
,"In the context of modular software design, which one of the following combinations is desirable?",B,H,Theory,Single choice,IT: Techno functional,
, High cohesion and high coupling,,,,,,
, High cohesion and low coupling,,,,,,
, Low cohesion and high coupling,,,,,,
, Low cohesion and low coupling,,,,,,
,,,,,,,
,"Match the following
List-I                                         List-II
A. Condition coverage                 1. Black-box testing
B. Equivalence class partitioning  2. System testing
C. Volume testing                       3. White-box testing
D. Alpha testing                         4. Performance testing

Codes:
   A B C D
(a) 2 3 1 4
(b) 3 4 2 1
(c) 3 1 4 2
(d) 3 1 2 4",C,H,Theory,Single choice,IT: Techno functional,
, a,,,,,,
, b,,,,,,
, c,,,,,,
, d,,,,,,
,,,,,,,
,A Software Requirements Specification (SRS) document should avoid discussing which one of the following?,C,M,Theory,Single choice,IT: Techno functional,
, User interface issues,,,,,,
, Non-functional requirements,,,,,,
, Design specification,,,,,,
, Interfaces with third party software,,,,,,
,,,,,,,
,HTML(Hypertext Markup Language) has language elements which permit certain actions other than describing the structure of the web document. Which one of the following actions is NOT supported by pure HTML (without any server or client side scripting)pages?,D,H,Theory,Single choice,IT: Techno functional,
, Embed web objects from different sites into the same page,,,,,,
, Refresh the page automatically after a specified interval,,,,,,
, Automatically redirect to another page upon download,,,,,,
, Display the client time as part of the page,,,,,,
,,,,,,,
,"Consider the three commands : PROMPT, HEAD and RCPT. Which of the following options indicate a correct association of these commands with protocols where these are used?",B,H,Theory,Single choice,IT: Techno functional,
," HTTP, SMTP, FTP",,,,,,
," FTP, HTTP, SMTP",,,,,,
," HTTP, FTP, SMTP",,,,,,
," SMTP, HTTP, FTP",,,,,,
,,,,,,,
,A HTML form is to be designed to enable purchase of office stationery. Required items are to be selected (checked). Credit card details are to be entered and then the submit button is to be pressed. Which one of the following options would be appropriate for sending the data to the server. Assume that security is handled in a way that is transparent to the form design.,B,H,Theory,Single choice,IT: Techno functional,
, Only GET,,,,,,
, Only POST,,,,,,
, Either GET or POST,,,,,,
, Neither GET nor POST,,,,,,
,,,,,,,
,What is the best time complexity of bubble sort?,C,H,Theory,Single choice,IT: Techno functional,
, N^2,,,,,,
, NlogN,,,,,,
, N,,,,,,
, N(logN)^2,,,,,,
,,,,,,,
,What does it mean when we say that an algorithm X is asymptotically more efficient than Y?,B,H,Logical,Single choice,IT: Techno functional,
, X will be a better choice for all inputs,,,,,,
, X will be a better choice for all inputs except small inputs,,,,,,
, X will be a better choice for all inputs except large inputs,,,,,,
, Y will be a better choice for small inputs,,,,,,
,,,,,,,
,Which of the following sorting algorithms has the lowest worst-case complexity?,A,M,Theory,Single choice,IT: Techno functional,
, Merge Sort,,,,,,
, Bubble Sort,,,,,,
, Quick Sort,,,,,,
, Selection Sort,,,,,,
,,,,,,,
,This is an encryption/decryption key known only to the party or parties that exchange secret messages,C,M,Theory,Single choice,IT: Techno functional,
, e-signature,,,,,,
, digital certificate,,,,,,
, private key,,,,,,
,security token,,,,,,
,,,,,,,
,"Today, many Internet businesses and users take advantage of cryptography based on this approach",A,H,Theory,Single choice,IT: Techno functional,
, Public key infrastructure,,,,,,
, Output feedback,,,,,,
, Encrypting File System,,,,,,
, Single signon,,,,,,
,,,,,,,
,The name for the issuer of a PKI certificate is_____,B,E,Theory,Single choice,IT: Techno functional,
, Man in the middle ,,,,,,
, Certificate Authority,,,,,,
, Resource Access Control Facility,,,,,,
, Script Kiddy,,,,,,
,,,,,,,
,This is the encryption algorithm that will begin to supplant the Data Encryption Standard (DES) - and later Triple DES - over the next few years as the new standard encryption algorithm,A,H,Theory,Single choice,IT: Techno functional,
, Rijndael ,,,,,,
, Kerberos ,,,,,,
, Blowfish ,,,,,,
, IPsec,,,,,,
,,,,,,,
,"In password protection, this is a random string of data used to modify a password hash.",B,H,Theory,Single choice,IT: Techno functional,
, Sheepdip,,,,,,
, Salt,,,,,,
, Bypass,,,,,,
, Dongle,,,,,,
,,,,,,,
,This is the inclusion of a secret message in otherwise unencrypted text or images.,B,H,Theory,Single choice,IT: Techno functional,
, masquerade,,,,,,
, steganography ,,,,,,
, spoof ,,,,,,
, eye-in-hand system,,,,,,
,,,,,,,
,What was developed by PYRA Labs and later sold to google ?,C,-,GK,Single choice,IT: Techno functional,
, Flicker,,,,,,
, Instagram,,,,,,
, Blogger,,,,,,
, Tumblr,,,,,,
,,,,,,,
,"Consider a software program that is artificially seeded with 100 faults. While testing this program, 159 faults are detected, out of which 75 faults are from those artificially seeded faults. Assuming that both real and seeded faults are of same nature and have same distribution, the estimated number of undetected real faults is ____________",A,-,Theory,Single choice,IT: Techno functional,
, 28,,,,,,
, 175,,,,,,
, 56,,,,,,
, 84,,,,,,
,,,,,,,
,"HELO and PORT, respectively, are commands from the protocols:",D,H,Theory,Single choice,IT: Techno functional,
, FTP and HTTP,,,,,,
, TELNET and POP3,,,,,,
, HTTP and TELNET,,,,,,
, SMTP and FTP,,,,,,
,,,,,,,
,Which of the following is TRUE only of XML but NOT HTML?,C,H,Theory,Single choice,IT: Techno functional,
, It is derived from SGML,,,,,,
, It describes content and layout,,,,,,
, It allows user defined tags,,,,,,
, It is restricted only to be used with web browsers,,,,,,
,,,,,,,
,"This is a computing and telecommunications industry specification that describes how mobile phones, computers, and personal digital assistants can connect with phones and computers by using a short-range wireless connection.",A,E,Theory,Single choice,IT: Techno functional,
, Bluetooth,,,,,,
, Blackberry,,,,,,
, Bluebird,,,,,,
, Bellcore,,,,,,
,,,,,,,
,"If a transmission is good, this is what happens when a mobile or portable cellular subscriber passes from one cell into another and the network has to switch coverage responsibility from one base station to another.",C,M,Theory,Single choice,IT: Techno functional,
, Handshake,,,,,,
, Handoff,,,,,,
, Cross-bar switch,,,,,,
, None of the above,,,,,,
,,,,,,,
,This IBM family of products is a relational database management system for large business computers.,D,E,Theory,Single choice,IT: Techno functional,
, DBA,,,,,,
, B2B,,,,,,
, PHP,,,,,,
, DB2,,,,,,
,,,,,,,
,"This type of database, which can be used to mine data for business trends, doesn't require SQL queries, but instead allows a user to ask questions like ""How many Aptivas have been sold in Nebraska so far this year?""",B,M,Theory,Single choice,IT: Techno functional,
, Object-oriented database management system ,,,,,,
, Multidimensional database ,,,,,,
, Functional specification,,,,,,
, None of the above,,,,,,
,,,,,,,
,This is an open standard application programming interface (API) for accessing a database.,C,M,Theory,Single choice,IT: Techno functional,
, Command Line Interface,,,,,,
, Universal Data Access ,,,,,,
, Open Database Connectivity ,,,,,,
, Open Data-Link Interface ,,,,,,
,,,,,,,
,This is a mobile positioning technique used by emergency services to find a caller's location.,A,H,Theory,Single choice,IT: Techno functional,
, Cell of Origin,,,,,,
, Interactive Voice Response,,,,,,
, Location-based services ,,,,,,
, None of these,,,,,,
,,,,,,,
,This is a collection of data items organized as a set of formally-described tables from which data can be accessed or reassembled in many different ways without having to reorganize the database tables,A,M,Theory,Single choice,IT: Techno functional,
, Relational database,,,,,,
, File Allocation Table,,,,,,
, Array,,,,,,
, None of these,,,,,,
,,,,,,,
,This is a standard interactive and programming language for getting information from and updating a database,B,M,Theory,Single choice,IT: Techno functional,
, Dynamic data exchange ,,,,,,
, Structured Query Language ,,,,,,
, ASCII,,,,,,
, None of these,,,,,,
,,,,,,,
,"In creating a database, this is the process of organizing it into tables in such a way that the results of using the database are always unambiguous.",B,M,Theory,Single choice,IT: Techno functional,
, Probablility,,,,,,
, Normalization,,,,,,
, Data Modeling,,,,,,
, None of these,,,,,,
,,,,,,,
,"In 1977, this company set out to prove that the prevailing theory that relationship databases lacked commercial viability, was wrong.",B,M,GK,Single choice,IT:,
, Hewlett-Packard ,,,,,,
, Oracle,,,,,,
, Cognos,,,,,,
, Solaris,,,,,,
,,,,,,,
,"This term, used to describe a database that occupies magnetic storage in the terabyte range, describes a database that contains billions of table rows.",A,E,Theory,Single choice,IT:,
,Very Large Database ,,,,,,
, Big Data,,,,,,
, Electronic Data Interchange,,,,,,
, None of these,,,,,,
,,,,,,,
,This is a collection of descriptions about data objects that is created for the benefit of programmers and others who might need to refer to them.,A,M,Theory,Single choice,IT:,
, Data dictionary,,,,,,
, Stored procedures ,,,,,,
, Virtual File Allocation table ,,,,,,
, Catalog,,,,,,
,,,,,,,
,"This term is used to describe the process of forecasting, or simply discovering patterns in data that can lead to predictions about the future.",C,M,Theory,Single choice,IT:,
, PERT chart ,,,,,,
, Enterprise Risk Management,,,,,,
, Data mining,,,,,,
, None of these,,,,,,
,,,,,,,
,"This is a mode of operation for a block cipher, with the characteristic that each possible block of plaintext has a defined corresponding ciphertext value and vice versa",D,E,Theory,Single choice,IT:,
, footprinting ,,,,,,
, hash funtion,,,,,,
, watermark,,,,,,
, Electronic Code Book,,,,,,
,,,,,,,
,This is a trial and error method used to decode encrypted data through exhaustive effort rather than employing intellectual strategies,D,M,Theory,Single choice,IT:,
, chaffing and winnowing ,,,,,,
, cryptanalysis ,,,,,,
, serendipity ,,,,,,
, brute force cracking,,,,,,
,,,,,,,
,"Which of following statements is/are False?
1. XML overcomes the limitations in HTML to support a structured way of organizing content.
2. XML specification is not case sensitive while HTML specification is case sensitive.
3. XML supports user defined tags while HTML uses pre-defined tags.
4. XML tags need not be closed while HTML tags must be closed.",D,H,Theory,Single choice,IT:,
, 1 only,,,,,,
, 2 only,,,,,,
, 2 and 3 only,,,,,,
, 2 and 4 only,,,,,,
,,,,,,,
,"Given below are several usages of the anchor tag in HTML.
1. <A HREF = ""http://www.gate.ac.in/HTML/BASIC/testpage.html"">Test Me</A>
2. <A HREF = ""/BASIC/testpage.html"">Test Me</A>
3. <A HREF = ""testpage.html"">Test Me</A>
4. <A HREF = ""testpage.html#test"">Test Me</A>
Which of the above are valid?",D,H,Theory,Single choice,IT:,
, I and II only,,,,,,
, I and III only,,,,,,
," I, II and III only",,,,,,
," I, II, III and IV",,,,,,
,,,,,,,
,What is a spoofing attack?,B,H,Theory,Single choice,IT:,
, A japanese sumo technique,,,,,,
," A spoofing attack involves one program, system, or website successfully masquerading as another by falsifying data and thereby being treated as a trusted system by a user or another program. The purpose of this is usually to fool programs, systems, or users into revealing confidential information, such as user names and passwords, to the attacker",,,,,,
, Both,,,,,,
, None,,,,,,
,,,,,,,
,Command to change the admin password of windows xp?,C,H,Theory,Single choice,IT:,
, Net user *,,,,,,
, Net user ,,,,,,
, Net user administratorname *,,,,,,
, Net user administratorname,,,,,,
,,,,,,,
,"A software project involves execution of 5 tasks T1, T2, T3, T4 and T5 of duration 10, 15, 18, 30 and 40 days, respectively. T2 and T4 can start only after T1 completes. T3 can start after T2 completes. T5 can start only after both T3 and T4 complete. What is the slack time of the task T3 in days?",A,H,Numerical,Single choice,IT: Online,
, 0,,,,,,
, 3,,,,,,
, 18,,,,,,
, 30,,,,,,
,,,,,,,
,Which of the following is not a test automation tools offered by rational?,B,M,Numerical,Single choice,IT: Online,
, Purify,,,,,,
, Clarify,,,,,,
, Quanitfy,,,,,,
, All of the above,,,,,,
,,,,,,,
,ETVX Stands for,A,H,Theory,Single choice,IT: Online,
, Entry Test Verification Exit,,,,,,
, Entry Task Validation Exit,,,,,,
, Entry Task Verification Exit,,,,,,
, Entry Test Validation Exit,,,,,,
,,,,,,,
,What do executable files store?,B,H,Theory,Single choice,IT: Online,
, Business reference data,,,,,,
, Application programs,,,,,,
, Transaction data,,,,,,
, Word processing documents,,,,,,
,,,,,,,
,The three simple graphical elements of system flowcharts are:,A,H,Theory,Single choice,IT: Online,
," Symbols, flow lines, and areas of responsibility",,,,,,
," Symbols, lines, and documents",,,,,,
," Charts, lines, and documents",,,,,,
," Symbols, Charts and areas of responsibility",,,,,,
,,,,,,,
,IPv6 addresses consists of ____ bytes,B,H,Theory,Single choice,IT: Online,
, 6,,,,,,
, 16,,,,,,
, 10,,,,,,
, 4,,,,,,
,,,,,,,
,Full form of RADIUS ?,A,H,Theory,Single choice,IT: Online,
, Remote Authentication Dial In User Service,,,,,,
, Remote Authentication Dial In Usage Service,,,,,,
, Remotely Authenticated Dial In User Service,,,,,,
, Remotely Authenticated Dial In Usage Service,,,,,,
,,,,,,,
,How many criterias are there for hash functions?,B,H,Theory,Single choice,IT: Online,
, Two,,,,,,
, Three,,,,,,
, Four,,,,,,
, Five,,,,,,
,,,,,,,
,Which of the following terms are related to Cryptograhy?,B,H,Theory,Single choice,IT: Online,
, Birthday collision,,,,,,
, Birthday attack,,,,,,
, Birthday party,,,,,,
, None of the above,,,,,,
,,,,,,,
,This is a computer with a Web server that serves the pages for one or more Web sites.,B,E,Theory,Single choice,IT: Online,
, Portal,,,,,,
, Host,,,,,,
, Gateway,,,,,,
, None of the above,,,,,,
,,,,,,,
,"This is a variable value (for example, a ""last modified"" date) that a server can include in an HTML file before it sends it to the requestor.",A,M,Theory,Single choice,IT: Online,
, server-side include ,,,,,,
, active server page,,,,,,
, end effector,,,,,,
, none of the above,,,,,,
,,,,,,,
,This is a computer containing programs that collectively serve the needs of a large group rather than that of a single user or specialized application.,B,M,Theory,Single choice,IT: Online,
,web server,,,,,,
, enterprise server ,,,,,,
, terminal server,,,,,,
, none of the above,,,,,,
,,,,,,,
,"This is when you divide work that a server has to do between two or more computers so that more work gets done in the same amount of time and, in general, all users get served faster.",A,H,Theory,Single choice,IT: Online,
, Load balancing ,,,,,,
, Time-division multiplexing,,,,,,
, Fast packet technology ,,,,,,
, none of the above,,,,,,
,,,,,,,
,This is a freely available Web server that is distributed under an open source license.,A,H,Theory,Single choice,IT: Online,
, Apache,,,,,,
, Linux,,,,,,
, GNU,,,,,,
, Unix,,,,,,
,,,,,,,
,This is a standard way for a Web server to pass a Web user's request to an application program and to receive data back to forward to the user.,A,H,Theory,Single choice,IT: Online,
, Common gateway interface,,,,,,
, Interrupt request,,,,,,
, Data link layer,,,,,,
, none of the above,,,,,,
