,question,Correct Answer,Level,Category,Type,SKill,Answer,Type
,"The betas tell us about the characteristics of the asset being evaluated, and the risk premia tell us how those characteristics are priced in the market.",A,M,Theory,Single Choice,Investment banking: trading: equity analysis,,Single choice
, True,,,,,,,
, False,,,,,,,
, ,,,,,,,
,"Beta drift refers to the observed tendency of an estimated beta
 to revert to a value of 1.0 over time.",A,M,Theory,Single Choice,Investment banking: trading: equity analysis,,Single choice
, True,,,,,,,
, False,,,,,,,
, ,,,,,,,
,Country Risk rating model uses a corresponding developed market as a benchmark and add a premium for the emerging market,B,M,Theory,Single Choice,Investment banking: financial analysis: financial reporting: corporate finance,,Single choice
, True,,,,,,,
, False,,,,,,,
, ,,,,,,,
,Country Spread model estimates a regression equation using the equity risk premium for developed countries as the dependent variable and risk ratings (published by Institutional Investor) for those countries as the independent variable.,B,M,theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, True,,,,,,,
, False,,,,,,,
, ,,,,,,,
,The company going out of business must calculate its,D,M,theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Residual income value,,,,,,,
, Net salvage value,,,,,,,
, Dividend discount model value,,,,,,,
, Liquidation value,,,,,,,
,,,,,,,,
,A _____________ is the minimum return an investor requires given the asset's risk.,C,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Realized return,,,,,,,
, Expected return,,,,,,,
, Required return,,,,,,,
, Equity risk premium,,,,,,,
,,,,,,,,
,A ________________ is a historical return based on past observed prices and cash flows.,A,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Realized return,,,,,,,
, Expected return,,,,,,,
, Required return,,,,,,,
, Equity risk premium,,,,,,,
,,,,,,,,
,A ___________ is based on forecasts of future prices and cash flows.,B,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Realized return,,,,,,,
, Expected return,,,,,,,
, Required return,,,,,,,
, Equity risk premium,,,,,,,
,,,,,,,,
,The _______________ is the return in excess of the risk-free rate that investors require for holding equity securities.,D,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Realized return,,,,,,,
, Expected return,,,,,,,
, Required return,,,,,,,
, Equity risk premium,,,,,,,
,,,,,,,,
,A ________________ of the equity risk premium consists of the difference between the historical mean return for a broad-based equity-market index and a risk-free rate over a given time period.,C,M,Theory,Single Choice,Investment banking: derivatives: futures & options,,Single choice
, Past estimates,,,,,,,
, Forward looking estimates,,,,,,,
, Historical estimates,,,,,,,
, Future estimates,,,,,,,
,,,,,,,,
,"A _______________ use current information and expectations
 concerning economic and financial variables.",B,M,Theory,Single Choice,Investment banking: derivatives: futures & options,,Single choice
, Past estimates,,,,,,,
, Forward looking estimates,,,,,,,
, Historical estimates,,,,,,,
, Future estimates,,,,,,,
,,,,,,,,
,_______________ is unexpected change in the difference between the return of risky corporate bonds and government bonds.,D,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Inflation risk,,,,,,,
, Business cycle risk,,,,,,,
, Time horizon risk,,,,,,,
, confidence risk,,,,,,,
,,,,,,,,
,_______________ is unexpected change in the level of real business activity.,B,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Inflation risk,,,,,,,
, Business cycle risk,,,,,,,
, Time horizon risk,,,,,,,
, confidence risk,,,,,,,
,,,,,,,,
,___________ is unexpected change in the difference between the return of long-term government bonds and Treasury bills.,C,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Inflation risk,,,,,,,
, Business cycle risk,,,,,,,
, Time horizon risk,,,,,,,
, Market timing risk,,,,,,,
,,,,,,,,
,___________ is unexpected change in the inflation rate.,A,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Inflation risk,,,,,,,
, Business cycle risk,,,,,,,
, Time horizon risk,,,,,,,
, Market timing risk,,,,,,,
,,,,,,,,
,"___________ is equity market return that is not explained by the other four
 factors.",D,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Inflation risk,,,,,,,
, Business cycle risk,,,,,,,
, Time horizon risk,,,,,,,
, Market timing risk,,,,,,,
,,,,,,,,
,A company's debt is twice its equity. The required return on debt and equity are 8% and 10 % respectively. The marginal tax rate for the company is 30%. The WACC for the company is:,C,H,Numerical,Single Choice, financial analysis: financial reporting: corporate finance,,Numerical
,0.06,,,,,,,
,0.06,,,,,,,
,0.07,,,,,,,
,0.09,,,,,,,
,,,,,,,,
,Which of the following is included in Pastor-Stambaugh model but not in the Fama-French model?,A,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, A liquidity premium,,,,,,,
, book to market premium,,,,,,,
, market capitalization premium,,,,,,,
, all are included,,,,,,,
,,,,,,,,
,Which of the following is the rationales for using price to earnings ratio in valuation?,D,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
," Earnings power, as measured by earnings per share (EPS), is the primary determinant of investment value.",,,,,,,
, P/E can be useful in valuing companies that are expected to go out of business.,,,,,,,
, The P/E ratio is popular in the investment community.,,,,,,,
, both a and c,,,,,,,
,,,,,,,,
,Which of the following is the disadvantage for using price to earnings ratio in valuation?,D,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Earnings can be negative,,,,,,,
," Management discretion within allowed accounting practices can distort reported earnings, and thereby lessen the comparability of PIEs across firms.",,,,,,,
," P/E do not reflect the value of intangible economic assets, such as human capital.",,,,,,,
, a and b only,,,,,,,
,,,,,,,,
,Which of the following is the rationales for using price to book value ratio in valuation?,A,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Book value is more stable than EPS.,,,,,,,
," P/B do not reflect the value of intangible economic assets, such as human capital.",,,,,,,
, Empirical research shows that P/B differences are significantly related to long-run average stock returns.,,,,,,,
, b and c only,,,,,,,
,,,,,,,,
,Which of the following is the disadvantage for using price to earnings ratio in valuation?,C,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Book value is not an appropriate measure of net asset value for firms that primarily hold liquid assets.,,,,,,,
, P/B is not useful in valuing companies that are expected to go out of business.,,,,,,,
," Inflation and technological change can cause the book and market values of assets to differ significantly, so book value is not an accurate measure of the value of shareholders' investment. This makes it more difficult to compare P/Bs across firms.",,,,,,,
, All of the above,,,,,,,
,,,,,,,,
,Abc earned $3.5 per share last year. Investment in fixed capital was $2.00 per share and depreciation was $1.6 and working capital investment was $.5 per share. The current debt to asset ratio is 40%. The required return for shareholders is 14% and expected growth rate is 4%. The value of Abc stock is :,D,H,Numerical,Single Choice, financial analysis: financial reporting: corporate finance,,Numerical
,27.00,,,,,,,
,27.04,,,,,,,
,29.90,,,,,,,
,30.78,,,,,,,
,,,,,,,,
,A firm has a P/E of 18.75 and a five year growth rate forecast of 15.32%. The median PEG for a group of firms having comparable risk to the given firm is 0.92. The stock is,B,H,Theory,Single Choice, financial analysis: financial reporting: corporate finance: investment banking,,Numerical
, overvalued as its PEG ratio is 0.82,,,,,,,
, overvalued as its PEG ratio is 1.22,,,,,,,
, undervalued as its PEG ratio is 0.82,,,,,,,
, undervalued as its PEG ratio is 0.64,,,,,,,
,,,,,,,,
,Abc has a P/E of 27.52 while the group median P/E is 33.25. Assuming all the members of group have similar products the firm is,C,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, correctly valued,,,,,,,
, overvalued,,,,,,,
, undervalued,,,,,,,
, cant say,,,,,,,
,,,,,,,,
,"Abc paid a dividend of $1.35 per share. The payout ratio is 67%, ROE is 23% and expected growth rate of 7.6%. The expected return for shareholders is 14%. The price to book value ratio is",D,H,Numerical,Single Choice, financial analysis: financial reporting: corporate finance,,Numerical
,1.03,,,,,,,
,1.22,,,,,,,
,1.19,,,,,,,
,2.41,,,,,,,
,,,,,,,,
,Which of the following investment strategies is consistent with high dividend yield stocks?,C,M,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, Blended,,,,,,,
, Momentum,,,,,,,
, Value,,,,,,,
, none of the above,,,,,,,
,,,,,,,,
,The average ROE for Abc was 32% in the last cycle. Abc has an EPS of $5. The payout ratio is 30% and the current book value per share is $14. The shares trade in the market at the rate of $54. The normalized EPS is,A,H,Numerical,Single Choice, financial analysis: financial reporting: corporate finance,,Numerical
,4.48,,,,,,,
,5.00,,,,,,,
,5.26,,,,,,,
,6.00,,,,,,,
,,,,,,,,
,Abc has a P/S ratio of 2 and the net profit margin of 5% and a growth rate of 4%. The P/E ratio based on Gordon growth model is,B,H,Numerical,Single Choice, financial analysis: financial reporting: corporate finance,,Numerical
,34.80,,,,,,,
,38.50,,,,,,,
,40.00,,,,,,,
,42.80,,,,,,,
,,,,,,,,
,Abc has a P/B ratio of 5. ROE is expected to be 18% and market price per share is $25 and growth rate is 8%. The cost of equity implied by current P/B ratio is,D,H,Numerical,Single Choice, financial analysis: financial reporting: corporate finance,,Numerical
,0.06,,,,,,,
,0.07,,,,,,,
,0.08,,,,,,,
,0.10,,,,,,,
,,,,,,,,
,A public sale of the firm's equity increases its liquidity.,A,E,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, True,,,,,,,
, False,,,,,,,
,,,,,,,,
,Compliance-related valuations are performed for legal or regulatory reasons and primarily focus on financial reporting and tax issues.,A,E,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, True,,,,,,,
, False,,,,,,,
,,,,,,,,
,Compliance-related valuations are necessary when selling or financing a firm.,B,E,Theory,Single Choice, financial analysis: financial reporting: corporate finance,,Single choice
, True,,,,,,,
, False,,,,,,,
,,,,,,,,
,"Transaction-related valuations may be required for shareholder suits, damage claims, lost profits claims, or divorce settlements.",B,E,Theory,Single Choice, financial analysis: financial reporting: corporate finance: investment banking,,Single choice
, True,,,,,,,
, False,,,,,,,
,,,,,,,,
,Market approach values a firm as the present value of its expected future income.,B,E,Theory,Single Choice, financial analysis: financial reporting: corporate finance: investment banking: valuation,,Single choice
, True,,,,,,,
, False,,,,,,,
,,,,,,,,
,Asset based approach values a firm using the price multiples based on recent sales of comparable assets.,B,E,Theory,Single Choice, financial analysis: financial reporting: corporate finance: investment banking: valuation,,Single choice
, True,,,,,,,
, False,,,,,,,
,,,,,,,,
,"In a strategic transaction, valuation of the firm is based in part on the perceived synergies with the acquirer's other assets.",A,E,Theory,Single Choice, financial analysis: financial reporting: corporate finance: investment banking: valuation,,Single choice
, True,,,,,,,
, False,,,,,,,
,,,,,,,,
,"A financial transaction assumes no synergies, as when one firm buys another in a dissimilar industry.",A,E,Theory,Single Choice, financial analysis: financial reporting: corporate finance: investment banking: valuation,,Single choice
, True,,,,,,,
, False,,,,,,,
