,Question,Answer,Level,Category,Type,Tag,Answer Description
,,,,,,,
5,"Which of the following portfolios falls below the Markowitz efficient frontier?
 Portfolio               Expected Return            Expected Standard Deviation
 A                                 12.1%                                 8.5%
 B                                 14.2%                                 8.7%
 C                                 15.1%                                 8.7%",B,H,Numerical,Single Choice,Portfolio Management,"Portfolio B is inefficient (falls below the efficient frontier) because for the same risk level (8.7%), you could have portfolio C with a higher expected return (15.1% versus 14.2%)."
a),Portfolio A.,,,,,,
b),Portfolio B.,,,,,,
c),Portfolio C.,,,,,,
d),None of these,,,,,,
,,,,,,,
6,"If two stocks have positive covariance, which of the following statements is CORRECT?",A,E,Theory,Single Choice,Portfolio Management,"This is a correct description of positive covariance.
 If one stock doubles in price, the other will also double in price is true if the correlation coefficient = 1. The two stocks need not be in the
 same industry."
a),The rates of return tend to move in the same direction relative to their individual means.,,,,,,
b),The two stocks must be in the same industry.,,,,,,
c),"If one stock doubles in price, the other will also double in price.",,,,,,
d),None of these,,,,,,
,,,,,,,
7,The most appropriate measure of the increase in the purchasing power of a portfolio's value over a given span of time is a(n):,B,E,Theory,Single Choice,Portfolio Management,A real return is adjusted for the effects of inflation and is used to measure the increase in purchasing power over time.
a),after-tax return.,,,,,,
b),real return.,,,,,,
c),holding period return.,,,,,,
d),None of these,,,,,,
,,,,,,,
8,"What is the variance of a two-stock portfolio if 15% is invested in stock A (variance of 0.0071) and 85% in stock B (variance of
 0.0008) and the correlation coefficient between the stocks is -0.04?",A,M,Numerical,Single Choice,Portfolio Management,"The variance of the portfolio is found by:
 [W1^2 σ1^2 + W2^2 σ2^2 + 2W1 W2σ1 σ2 r ], or [(0.15) (0.0071) + (0.85) (0.0008) + (2)(0.15)(0.85)(0.0843)(0.0283)(-0.04)] = 0.0007"
a),0.0007.,,,,,,
b),0.0026.,,,,,,
c),0.0020.,,,,,,
d),None of these,,,,,,
,,,,,,,
9,"If the standard deviation of stock A is 10.6%, the standard deviation of stock B is 14.6%, and the covariance between the two is 0.015476, what is the correlation coefficient?",C,E,Numerical,Single Choice,Portfolio Management,The formula is: (Covariance of A and B) / [(Standard deviation of A)(Standard Deviation of B)] = (Correlation Coefficient of A and B) = (0.015476) / [(0.106)(0.146)] = 1.
a),0,,,,,,
b),0.0002.,,,,,,
c),1,,,,,,
d),None of these,,,,,,
,,,,,,,
10,An investor with a buy-and-hold strategy who makes quarterly deposits into an account should most appropriately evaluate portfolio performance using the portfolio's:,B,M,Theory,Single Choice,Portfolio Management,Geometric mean return (time-weighted return) is the most appropriate method for performance measurement as it does not consider additions to or withdrawals from the account.
a),arithmetic mean return.,,,,,,
b),geometric mean return.,,,,,,
c),money-weighted return.,,,,,,
d),None of these,,,,,,
,,,,,,,
11,Which one of the following statements about correlation is NOT correct?,B,M,Theory,Single Choice,Portfolio Management,"This statement should read, ""If two assets have perfect negative correlation, it is possible to reduce the portfolio's overall variance to zero."""
a),The covariance is equal to the correlation coefficient times the standard deviation of one stock times the standard deviation of the other stock.,,,,,,
b),"If two assets have perfect negative correlation, it is impossible to reduce the portfolio's overall variance",,,,,,
c),Positive covariance means that asset returns move together.,,,,,,
d),None of these,,,,,,
,,,,,,,
12,Which one of the following statements about correlation is NOT correct?,A,E,Theory,Single Choice,Portfolio Management,A correlation coefficient of zero means that there is no relationship between the stock's returns. The other statements are true.
a),"If the correlation coefficient were 0, a zero variance portfolio could be constructed.",,,,,,
b),Potential benefits from diversification arise when correlation is less than +1.,,,,,,
c),"If the correlation coefficient were -1, a zero variance portfolio could be constructed.based on a benchmark index or portfolio.",,,,,,
d),None of these,,,,,,
,,,,,,,
13,"Assets A (with a variance of 0.25) and B (with a variance of 0.40) are perfectly positively correlated. If an investor creates a portfolio using only these two assets with 40% invested in A, the portfolio standard deviation is closest to:",C,H,Numerical,Single Choice,Portfolio Management,The portfolio standard deviation = [(0.4)^2 (0.25) + (0.6)^2 (0.4) + 2(0.4)(0.6)1(0.25)^.5 (0.4)^.5 ]^.5 = 0.5795
a),0.3400.,,,,,,
b),0.3742.,,,,,,
c),0.5795,,,,,,
d),None of these,,,,,,
,,,,,,,
14,"An investor begins with a $100,000 portfolio. At the end of the first period, it generates $5,000 of income, which he does not reinvest. At the end of the second period, he contributes $25,000 to the portfolio. At the end of the third period, the portfolio is valued at $123,000. The portfolio's money-weighted return per period is closest to:",A,H,Numerical,Single Choice,Portfolio Management,"Using the financial calculator, the initial investment (CF ) is -100,000. The income is +5,000 (CF ), and the contribution is -25,000 (CF2). Finally, the ending value is +123,000 (CF ) available to the investor. Compute IRR = 0.94"
a),0.94%.,,,,,,
b),-0.50%.,,,,,,
c),1.20%.,,,,,,
,,,,,,,
15,A stock has an expected return of 4% with a standard deviation of returns of 6%. A bond has an expected return of 4% with a standard deviation of 7%. An investor who prefers to invest in the stock rather than the bond is best described as:,B,E,Theory,Single Choice,Portfolio Management,"Given two investments with the same expected return, a risk averse investor will prefer the investment with less risk. A risk neutral investor will be indifferent between the two investments. A risk seeking investor will prefer the investment with more risk."
a),risk seeking.,,,,,,
b),risk averse.,,,,,,
c),risk neutral.,,,,,,
d),None of these,,,,,,
,,,,,,,
16,"As the correlation between the returns of two assets becomes lower, the risk reduction potential becomes:",B,E,Theory,Single Choice,Portfolio Management,"Perfect positive correlation (r = +1) of the returns of two assets offers no risk reduction, whereas perfect negative correlation (r = -1) offers the greatest risk reduction."
a),decreased by the same level.,,,,,,
b),greater.,,,,,,
c),smaller.,,,,,,
d),None of these,,,,,,
,,,,,,,
17,The particular portfolio on the efficient frontier that best suits an individual investor is determined by:,B,M,Theory,Single Choice,Portfolio Management,"The optimal portfolio for each investor is the highest indifference curve that is tangent to the efficient frontier. The optimal portfolio is the
 portfolio that gives the investor the greatest possible utility."
a),the individual's asset allocation plan.,,,,,,
b),the individual's utility curve.,,,,,,
c),the current market risk-free rate as compared to the current market return rate.,,,,,,
d),None of these,,,,,,
,,,,,,,
18,"Historically, which of the following asset classes has exhibited the smallest standard deviation of monthly returns?",A,M,Numerical,Single Choice,Portfolio Management,"Based on data for securities in the United States from 1926 to 2008, Treasury bills exhibited a lower standard deviation of monthly returns than both large-cap stocks and long-term corporate bonds."
a),Treasury bills.,,,,,,
b),Large-capitalization stocks.,,,,,,
c),Long-term corporate bonds.,,,,,,
d),None of these,,,,,,
,,,,,,,
19,Which of the following statements best describes an investment that is not on the efficient frontier?,A,E,Theory,Single Choice,Portfolio Management,
a),There is a portfolio that has a lower risk for the same return.,,,,,,
b),The portfolio has a very high return.,,,,,,
c),There is a portfolio that has a lower return for the same risk.,,,,,,
d),None of these,,,,,,
,,,,,,,
20,"Rahul is an asset manager. His portfolio had the following annual rates of return:

 Year      Return
 2012      +6%
 2013      -37%
 2014      +27%

 The manager states that the return for the period is −5.34%. The manager has reported the:",B,M,Numerical,Single Choice,Portfolio Management,"Geometric Mean Return = −5.34%
 Holding period return = (1 + 0.06)(1 − 0.37)(1 + 0.27) − 1 = −15.2%
 Arithmetic mean return = (6% − 37% + 27%) / 3 = −1.33%."
a),arithmetic mean return,,,,,,
b),geometric mean return.,,,,,,
c),holding period return.,,,,,,
d),None of these,,,,,,
,,,,,,,
21,Which of the following statements regarding the covariance of rates of return is least accurate?,A,E,Numerical,Single Choice,Portfolio Management,"Negative covariance means rates of return will tend to move in opposite directions on average. For the returns to always move in opposite directions, they would have to be perfectly negatively correlated. Negative covariance by itself does not imply anything about the strength of the negative correlation"
a),"If the covariance is negative, the rates of return on two investments will always move in different directions relative to their means.",,,,,,
b),It is a measure of the degree to which two variables move together over time.,,,,,,
c),"It is not a very useful measure of the strength of the relationship, there is absent information about the volatility of the two variables.",,,,,,
d),None of these,,,,,,
,,,,,,,
22,"Divya is considering the diversification benefits of a two stock portfolio. 

The expected return of stock A is 14 percent with a standard deviation of 18 percent and the expected return of stock B is 18 percent with a standard deviation of 24 percent. 

She intends to invest 40 percent of her money in stock A, and 60 percent in stock B. The correlation coefficient between the two stocks is 0.6. 


What is the variance and standard deviation of the two stock portfolio?",A,H,Numerical,Single Choice,Portfolio Management,"(0.40)^2 (0.18)^2 + (0.60)^2 (0.24)^2 + 2(0.4)(0.6)(0.18)(0.24)(0.6) = 0.03836.
 0.03836 = 0.1959 or 19.59%."
a),Variance = 0.03836; Standard Deviation = 19.59%.,,,,,,
b),Variance = 0.04666; Standard Deviation = 21.60%.,,,,,,
c),Variance = 0.02206; Standard Deviation = 14.85%.,,,,,,
d),None of these,,,,,,
,,,,,,,
23,"On a graph of risk, measured by standard deviation and expected return, the efficient frontier represents:",C,H,Numerical,Single Choice,Portfolio Management,"The efficient set is the set of portfolios that dominate all other portfolios as to risk and return. That is, they have highest expected return at each level of risk."
a),all portfolios plotted in the northeast quadrant that maximize return.,,,,,,
b),"the group of portfolios that have extreme values and therefore are ""efficient"" in their allocation.",,,,,,
c),the set of portfolios that dominate all others as to risk and return,,,,,,
d),None of these,,,,,,
,,,,,,,
24,"If the standard deviation of stock A is 7.2%, the standard deviation of stock B is 5.4%, and the covariance between the two is -0.0031, what is the correlation coefficient?",A,M,Numerical,Single Choice,Portfolio Management,The formula is: (Covariance of A and B)/[(Standard deviation of A)(Standard Deviation of B)] = (Correlation Coefficient of A and B) = (-0.0031)/[(0.072)(0.054)] = -0.797.
a),-0.80.,,,,,,
b),-0.19.,,,,,,
c),-0.64.,,,,,,
d),None of these,,,,,,
,,,,,,,
25,"A portfolio currently holds Randy Co. and the portfolio manager is thinking of adding either XYZ Co. or Branton Co. to the portfolio. 

All three stocks offer the same expected return and total risk. The covariance of returns between Randy Co. and XYZ is +0.5 and the covariance between Randy Co. and Branton Co. is -0.5. The portfolio's risk would decrease:",C,E,Theory,Single Choice,Portfolio Management,"In portfolio composition questions, return and standard deviation are the key variables. Here you are told that both returns and standard deviations are equal. Thus, you just want to pick the companies with the lowest covariance, because that would mean you picked the ones with the lowest correlation coefficient"
a),most if she put half your money in XYZ Co. and half in Branton Co.,,,,,,
b),more if she bought XYZ Co.,,,,,,
c),more if she bought Branton Co.,,,,,,
d),None of these,,,,,,
,,,,,,,
26,A measure of how well the returns of two risky assets move together is the:,B,E,Theory,Single Choice,Portfolio Management,
a),standard deviation.,,,,,,
b),covariance.,,,,,,
c),range.,,,,,,
d),None of these,,,,,,
,,,,,,,
27,"An analyst gathered the following data for Stock A and Stock B:

Time Period         Stock A Returns            Stock B Returns
   1                                 10%                                  15%
   2                                  6%                                   9%
   3                                  8%                                  12%
 
What is the covariance for this portfolio?",A,M,Numerical,Single Choice,Portfolio Management,"The formula for the covariance for historical data is:
 cov = {Σ[(Ra − Mean Ra )(Rb − Mean Rb )]} / (n − 1)
 Mean Ra = (10 + 6 + 8) / 3 = 8, Mean Rb = (15 + 9 + 12) / 3 = 12
 Here, cov = [(10 − 8)(15 − 12) + (6 − 8)(9 − 12) + (8 − 8)(12 − 12)] / 2 = 6"
a),6,,,,,,
b),12,,,,,,
c),3,,,,,,
d),None of these,,,,,,
,,,,,,,
28,"Which of the following portfolios falls below the Markowitz efficient frontier?

Portfolio Expected       Return Expected         Standard Deviation
 A                                        7%                                14%
 B                                        9%                                26%
 C                                       12%                               22%",A,M,Numerical,Single Choice,Portfolio Management,"Portfolio B is not on the efficient frontier because it has a lower return, but higher risk, than Portfolio D."
a),B,,,,,,
b),D,,,,,,
c),C,,,,,,
d),None of these,,,,,,
,,,,,,,
29,Which of the following statements about portfolio diversification is CORRECT?,A,M,Theory,Single Choice,Portfolio Management,The other statements are false. The lower the correlation coefficient; the greater the potential for diversification. Efficient portfolios lie on the efficient frontier.
a),"When a risk-averse investor is confronted with two investment opportunities having the same expected return, the investor will take the opportunity with the lower risk.",,,,,,
b),The efficient frontier represents individual securities.,,,,,,
c),"As the correlation coefficient moves from +1 to zero, the potential for diversification diminishes.",,,,,,
d),None of these,,,,,,
,,,,,,,
30,"Stock of company A has a standard deviation of 4.1% and Stock of company B has a standard deviation of 5.8%. 

If the stocks are perfectly positively correlated, which portfolio weights minimize the portfolio's standard deviation?",B,M,Numerical,Single Choice,Portfolio Management,"Because there is a perfectly positive correlation, there is no benefit to diversification. Therefore, the investor should put all his money into Stock A (with the lowest standard deviation) to minimize the risk (standard deviation) of the portfolio."
a),Stock A -0% ; Stock B - 100%,,,,,,
b),Stock A - 100% ; Stock B - 0%,,,,,,
c),Stock A - 63% ;  Stock B - 37%,,,,,,
d),None of these,,,,,,
,,,,,,,
1,"Which one of the following portfolios does not lie on the efficient frontier?

 Portfolio           Expected Return         Standard Deviation
 A                                 7                               5
 B                                9                              12
 C                               11                             10
 D                              15                              15",A,M,Numerical,Single Choice,Portfolio Management,Portfolio B has a lower expected return than Portfolio C with a higher standard deviation.
a),Portfolio B,,,,,,
b),Portfolio C,,,,,,
c),Portfolio D,,,,,,
d),Portfolio A,,,,,,
,,,,,,,
2,"The correlation coefficient between stocks A and B is 0.75. The standard deviation of stock A's returns is 16% and the standard deviation of stock B's returns is 22%. 

What is the covariance between stock A and B?",C,M,Numerical,Single Choice,Portfolio Management,cov = 0.75 × 0.16 × 0.22 = 0.0264 = covariance between A and B
a),0.0352.,,,,,,
b),0.3750.,,,,,,
c),0.0264.,,,,,,
d),None of these,,,,,,
,,,,,,,
3,Which of the following statements about risk aversion is CORRECT?,A,E,Theory,Single Choice,Portfolio Management,Risk aversion implies that an investor will not assume risk unless compensated.
a),"Given a choice between two assets with equal rates of return, the investor will always select the asset with the lowest level of risk.",,,,,,
b),Risk averse investors will not take on risk.,,,,,,
c),"Risk aversion implies that the risk-return line, the CML, and the SML are downward sloping curves.",,,,,,
d),None of these,,,,,,
,,,,,,,
4,"An investor has a two-stock portfolio (Stocks A and B) with the following characteristics:
 Sigma a= 55%
 Sigma b= 85%
 Covariance = 0.09
 Wa = 70%
 Wb = 30%
 The variance of the portfolio is closest to:",A,M,Numerical,Single Choice,Portfolio Management,
a),0.25,,,,,,
b),0.39,,,,,,
c),0.54,,,,,,
d),0.232,,,,,,
,,,,,,,
5,The basic premise of the risk-return trade-off suggests that risk-averse individuals purchasing investments with higher non-diversifiable risk should expect to earn:,A,E,Theory,Single Choice,Portfolio Management,"Investors are risk averse. Given a choice between two assets with equal rates of return, the investor will always select the asset with the lowest level of risk. This means that there is a positive relationship between expected returns (ER) and expected risk (Es) and the risk return line (capital market line [CML] and security market line [SML]) is upward sweeping."
a),higher rates of return.,,,,,,
b),lower rates of return.,,,,,,
c),rates of return equal to the market.,,,,,,
d),None of these,,,,,,
,,,,,,,
6,Which of the following statements about portfolio theory is least accurate?,A,E,Theory,Single Choice,Portfolio Management,"When the return on an asset added to a portfolio has a correlation coefficient of less than one with the other portfolio asset returns but has the same risk, adding the asset will decrease the overall portfolio standard deviation. Any time the correlation coefficient is less than one, there are benefits from diversification. The other choices are true."
a),"When the return on an asset added to a portfolio has a correlation coefficient of less than one with the other portfolio asset returns but has the same risk, adding the asset will not decrease the overall portfolio standard deviation.",,,,,,
b),"Assuming that the correlation coefficient is less than one, the risk of the portfolio will always be less than the simple weighted average of individual stock risks.",,,,,,
c),"For a two-stock portfolio, the lowest risk occurs when the correlation coefficient is close to negative one.",,,,,,
d),None of these,,,,,,
,,,,,,,
7,"Over the long term, the annual returns and standard deviations of returns for major asset classes have shown:",B,E,Theory,Single Choice,Portfolio Management,"In most markets and for most asset classes, higher average returns have historically been associated with higher risk"
a),negative relationship.,,,,,,
b),a positive relationship.,,,,,,
c),no clear relationship.,,,,,,
d),Can't say,,,,,,
,,,,,,,
8,"An investor has identified the following possible portfolios. Which portfolio cannot be on the efficient frontier?

 Portfolio                  Expected Return                  Standard Deviation
 V                                         18%                                        35%
 W                                        12%                                        16%
 X                                         10%                                         10%
 Y                                          14%                                        20%
 Z                                          13%                                        24%",D,M,Numerical,Single Choice,Portfolio Management,Portfolio Z must be inefficient because its risk is higher than Portfolio Y and its expected return is lower than Portfolio Y.
a),Portolio V,,,,,,
b),Portolio Y,,,,,,
c),Portolio X,,,,,,
d),Portolio Z,,,,,,
,,,,,,,
9,"The standard deviation of the rates of return is 0.25 for Stock J and 0.30 for Stock K. 

The covariance between the returns of J and K is 0.025. The correlation of the rates of return between J and K is:",C,M,Numerical,Single Choice,Portfolio Management,"Cov = (r )(SDa )(SDb ), where r = correlation coefficient and SD = standard deviation of stock x
 Then, (r ) = Cov / (SDa × SDb ) = 0.025 / (0.25 × 0.30) = 0.333"
a),0.2,,,,,,
b),0.1,,,,,,
c),0.33,,,,,,
d),0.31,,,,,,
,,,,,,,
10,"Three portfolios have the following expected returns and risk:

 Portfolio                        Expected return                        Standard deviation
 Jones                                          4%                                               2%
 Kelly                                            6%                                               5%
 Lewis                                           7%                                               8%
 
A risk-averse investor choosing from these portfolios could rationally select:",A,M,Numerical,Single Choice,Portfolio Management,"Risk aversion means that to accept greater risk, an investor must be compensated with a higher expected return. For the three portfolios given, higher risk is associated with higher expected return. Therefore a risk-averse investor may select any of these portfolios. A risk-averse investor will not select a portfolio if another portfolio offers a higher expected return with the same risk, or
 lower risk with the same expected return."
a),any of these portfolios.,,,,,,
b),"Jones or Kelly, but not Lewis.",,,,,,
c),"Jones, but not Kelly or Lewis.",,,,,,
d),"Kelly, but not Jones or Lewis",,,,,,
,,,,,,,
11,Which of the following measures is NOT considered when calculating the risk (variance) of a two-asset portfolio?,B,E,Theory,Single Choice,Portfolio Management,"The formula for calculating the variance of a two-asset portfolio is:
 σ = Wa^2 σa^2 + Wb^2 σb^2 + 2Wa Wb Cov(a,b)"
a),Each asset's standard deviation.,,,,,,
b),The beta of each asset.,,,,,,
c),Each asset weight in the portfolio,,,,,,
d),None of these,,,,,,
,,,,,,,
12,A security portfolio earns a gross return of 7.0% and a net return of 6.5%. The difference of 0.5% most likely results from:,A,M,Theory,Single Choice,Portfolio Management,The net return on a portfolio is its gross return minus management and administrative fees. A return adjusted for taxes is called an after-tax return. A return adjusted for inflation is called a real return.
a),fees.,,,,,,
b),taxes.,,,,,,
c),inflation,,,,,,
d),None of these,,,,,,
,,,,,,,
13,"An investment manager is looking at ten possible stocks to include in a client's portfolio. In order to achieve the maximum efficiency of the portfolio, the manager must:",A,M,Theory,Single Choice,Portfolio Management,The most efficient portfolio will be the one that lies on the efficient frontier. It will offer the highest expected return at a given level of risk compared to all other possible portfolios.
a),find the combination of stocks that produces a portfolio with the maximum expected rate of return at a given level of risk,,,,,,
b),include all ten stocks in the portfolio in equal amounts.,,,,,,
c),include only the stocks that have the lowest volatility at a given expected rate of return.,,,,,,
d),None of these,,,,,,
,,,,,,,
14,Investors who are less risk averse will have what type of indifference curves for risk and expected return?,B,M,Theory,Single Choice,Portfolio Management,"Investors who are less risk averse will have flatter indifference curves, meaning they are willing to take on more risk for a slightly higher return. Investors who are more risk averse require a much higher return to accept more risk, producing steeper indifference curves."
a),Inverted.,,,,,,
b),Flatter.,,,,,,
,Normal,,,,,,
c),Steeper.,,,,,,
,,,,,,,
15,Which of the following statements about the efficient frontier is least accurate?,C,E,Theory,Single Choice,Portfolio Management,The optimal portfolio for each investor is the highest indifference curve that is tangent to the efficient frontier.
a),Portfolios falling on the efficient frontier are fully diversified.,,,,,,
b),The efficient frontier shows the relationship that exists between expected return and total risk in the absence of a risk-free asset.,,,,,,
c),Investors will want to invest in the portfolio on the efficient frontier that offers the highest rate of return.,,,,,,
d),None of these,,,,,,
,,,,,,,
16,"Risk aversion means that if two assets have identical expected returns, an individual will choose the asset with the:",A,E,Theory,Single Choice,Portfolio Management,"Investors are risk averse. Given a choice between assets with equal rates of expected return, the investor will always select the asset with the lowest level of risk. This means that there is a positive relationship between expected returns (ER) and expected risk (Es) and the risk return line (capital market line [CML] and security market line [SML]) is upward sloping. Standard deviation is a way to quantify risk. The payback period is used to evaluate capital projects, not investment returns"
a),lower risk level.,,,,,,
b),shorter payback period.,,,,,,
c),higher standard deviation.,,,,,,
d),None of these,,,,,,
,,,,,,,
17,"A bond analyst is looking at historical returns for two bonds, Bond 1 and Bond 2. Bond 2's returns are much more volatile than Bond 1. The variance of returns for Bond 1 is 0.012 and the variance of returns of Bond 2 is 0.308. The correlation between the returns of the two bonds is 0.79, and the covariance is 0.048. If the variance of Bond 1 increases to 0.026 while the variance of Bond 2 decreases to 0.188 and the covariance remains the same, the correlation between the two bonds will:",A,H,Numerical,Single Choice,Portfolio Management,P = 0.048/(0.026^.5 × 0.188^.5 ) = 0.69 which is lower than the original 0.79.
a),decrease.,,,,,,
b),remain the same.,,,,,,
c),increase.,,,,,,
d),None of these,,,,,,
,,,,,,,
18,Which of the following inputs is least likely required for the Markowitz efficient frontier? The:,C,M,Theory,Single Choice,Portfolio Management,The level of risk aversion in the market is not a required input. The model requires that investors know the expected return and variance of each security as well as the covariance between all securities.
a),expected return of all securities.,,,,,,
b),covariation between all securities.,,,,,,
c),level of risk aversion in the market,,,,,,
d),None of these,,,,,,
,,,,,,,
19,"In a set of portfolios, the portfolio with the highest rate of return, but the same variance of the rate of return as the others, would be considered a(n):",C,E,Theory,Single Choice,Portfolio Management,"The efficient frontier, which represents the set of portfolios that provides the highest return at each level of risk, is comprised of efficient portfolios. The optimal portfolio for each investor is the point on the highest indifference curve that is tangent to the efficient frontier."
a),positive alpha portfolio.,,,,,,
b),positive beta portfolio.,,,,,,
c),efficient portfolio,,,,,,
d),None of these,,,,,,
,,,,,,,
20,"If the standard deviation of stock A is 13.2 percent, the standard deviation of stock B is 17.6 percent, and the covariance between the two is 0, what is the correlation coefficient?",B,M,Numerical,Single Choice,Portfolio Management,"Since covariance is zero, the correlation coefficient must be zero."
a),0.31,,,,,,
b),0,,,,,,
c),1,,,,,,
d),-0.31,,,,,,
,,,,,,,
21,A line that represents the possible portfolios that combine a risky asset and a risk free asset is most accurately described as a:,B,E,Theory,Single Choice,Portfolio Management,"The line that represents possible combinations of a risky asset and the risk-free asset is referred to as a capital allocation line (CAL). The capital market line (CML) represents possible combinations of the market portfolio with the risk-free asset. A characteristic line is the best fitting linear relationship between excess returns on an asset and excess returns on the market and is used to estimate an
 asset's beta."
a),characteristic line.,,,,,,
b),capital allocation line.,,,,,,
c),capital market line,,,,,,
d),None of these,,,,,,
,,,,,,,
22,"In a two-asset portfolio, reducing the correlation between the two assets moves the efficient frontier in which direction?",B,H,Theory,Single Choice,Portfolio Management,Reducing correlation between the two assets results in the efficient frontier expanding to the left and possibly slightly upward. This reflects the influence of correlation on reducing portfolio risk.
a),"The efficient frontier is stable unless return expectations change. If expectations change, the efficient frontier will extend to the upper right with little or no change in risk.",,,,,,
b),"The frontier extends to the left, or northwest quadrant representing a reduction in risk while maintaining or enhancing portfolio returns.",,,,,,
c),The efficient frontier is stable unless the asset's expected volatility changes. This depends on each asset's standard deviation.,,,,,,
d),None of these,,,,,,
,,,,,,,
23,"Using the following correlation matrix, which two stocks would combine to make the lowest-risk portfolio? (Assume the stocks have
 equal risk and returns.)

      Stock           A              B             C
           A             + 1            --             --
           B            - 0.2          + 1           --
           C           + 0.6        - 0.1         + 1",A,M,Numerical,Single Choice,Portfolio Management,Portfolios A and B have the lowest correlation coefficient and will thus create the lowest-risk portfolio
a),A and B.,,,,,,
b),A and C.,,,,,,
c),C and B.,,,,,,
d),None of these,,,,,,
,,,,,,,
24,"An analyst collected the following data for three possible investments.

 Stock           Price           Today Forecast       Price Dividend           Beta
 Alpha           25                     31                                 2                          1.6
 Omega        105                 110                                 1                         1.2
 Lambda       10                  10.80                               0                        0.5

 *Expected price one year from today.

 The expected return on the market is 12% and the risk-free rate is 4%. According to the security market line (SML), which of the
 three securities is correctly priced?",A,H,Numerical,Single Choice,Portfolio Management,"In the context of the SML, a security is underpriced if the required return is less than the holding period (or expected) return, is overpriced if the required return is greater the holding period (or expected) return, and is correctly priced if the required return equals the holding period (or expected) return.
 Here, the holding period (or expected) return is calculated as: (ending price - beginning price + any cash flows / dividends) / beginning price. The required return uses the equation of the SML: risk free rate + Beta × (expected market rate − risk free rate).
 For Alpha: ER = (31 - 25 + 2) / 25 = 32%, RR = 4 + 1.6 × (12 − 4) = 16.8%. Stock is underpriced.
 For Omega: ER = (110 - 105 + 1) / 105 = 5.7%, RR = 4 + 1.2 × (12 − 4) = 13.6%. Stock is overpriced.
 For Lambda, ER = (10.8 - 10 + 0) / 10 = 8%, RR = 4 + 0.5 × (12 − 4) = 8%. Stock is correctly priced."
a),Lambda.,,,,,,
b),Omega.,,,,,,
c),Alpha,,,,,,
d),None of these,,,,,,
,,,,,,,
25,Which of the following is NOT an assumption of capital market theory?,B,E,Theory,Single Choice,Portfolio Management,Capital market theory assumes that investors can borrow or lend at the risk-free rate. The other statements are basic assumptions of capital market theory.
a),Interest rates never change from period to period.,,,,,,
b),"Investors can lend at the risk-free rate, but borrow at a higher rate.",,,,,,
c),The capital markets are in equilibrium,,,,,,
d),None of these,,,,,,
,,,,,,,
26,The correlation of returns on the risk-free asset with returns on a portfolio of risky assets is:,B,E,Theory,Single Choice,Portfolio Management,The risk-free asset has zero correlation of returns with any portfolio of risky assets.
a),positive.,,,,,,
b),zero.,,,,,,
c),negative.,,,,,,
d),None of these,,,,,,
,,,,,,,
27,"In the context of the CML, the market portfolio includes:",A,M,Theory,Single Choice,Portfolio Management,"The market portfolio has to contain all the stocks, bonds, and risky assets in existence. Because this portfolio has all risky assets in it, it represents the ultimate or completely diversified portfolio"
a),all existing risky assets.,,,,,,
b),the risk-free asset.,,,,,,
c),12-18 stocks needed to provide maximum diversification,,,,,,
d),None of these,,,,,,
,,,,,,,
28,"An analyst collected the following data for three possible investments.

 Stock           Price Today      Forecast Price      Dividend        Beta
 Alpha             25                          31                           2               1.6
 Omega           105                     110                           1               1.2
 Lambda          10                     10.80                         0                0.5

 *Expected price one year from today.

 The expected return on the market is 12% and the risk-free rate is 4%. Assuming that capital markets are in equilibrium, what is
 the required return for Omega?",B,M,Numerical,Single Choice,Portfolio Management,"RR = Rf + (Rmarket − Rf ) × Beta 
 RR = 4 + (12 − 4) × 1.2 = 4 + 9.6 = 13.6%."
a),1.2%.,,,,,,
b),13.6%.,,,,,,
c),17.4%.,,,,,,
d),None of these,,,,,,
,,,,,,,
29,Which is NOT an assumption of capital market theory?,B,E,Theory,Single Choice,Portfolio Management,Capital market theory assumes that all investments are infinitely divisible. The other statements are basic assumptions of capital market theory.
a),There are no taxes or transaction costs.,,,,,,
b),Investments are not divisible.,,,,,,
c),There is no inflation,,,,,,
d),None of these,,,,,,
,,,,,,,
30,The expected rate of return is 2.5 times the 12% expected rate of return from the market. What is the beta if the risk-free rate is 6%?,C,M,Numerical,Single Choice,Portfolio Management,"30 = 6 + β (12 - 6)
 24 = 6β
 β = 4"
a),5,,,,,,
b),3,,,,,,
c),4,,,,,,
d),4.2,,,,,,
,,,,,,,
2,A portfolio's excess return per unit of systematic risk is known as its:,B,E,Theory,Single Choice,Portfolio Management,The Treynor measure is excess return relative to beta. The Sharpe ratio measures excess return relative to standard deviation. Jensen's alpha measures a portfolio's excess return relative to return of a portfolio on the SML that has the same beta.
a),Jensen's alpha.,,,,,,
b),Treynor measure.,,,,,,
c),Sharpe ratio,,,,,,
d),None of these,,,,,,
,,,,,,,
3,"If the standard deviation of the market's returns is 5.8%, the standard deviation of a stock's returns is 8.2%, and the covariance of the market's returns with the stock's returns is 0.003, what is the beta of the stock?",A,H,Numerical,Single Choice,Portfolio Management,"The formula for beta is: (Cov )/(Var ), or (0.003)/(0.058) = 0.89."
a),0.89,,,,,,
b),0.05,,,,,,
c),1.07,,,,,,
d),0.91,,,,,,
,,,,,,,
4,The expected rate of return is 1.5 times the 16% expected rate of return from the market. What is the beta if the risk free rate is 8%?,C,M,Numerical,Single Choice,Portfolio Management,"24 = 8 + β (16 − 8)
 24 = 8 + 8β
 16 = 8β
 16 / 8 = β
 β = 2"
a),3,,,,,,
