,Question,Answer,Level,Category,Type,Skill,Answer Description
,One of the benefits of taking debt is advantage of paying lesser tax based on static tradeoff Theory,a,m,Theory,Single Choice,corporate finance,
, True,,,,,,
,  False,,,,,,
,,,,,,,
,D/E ratio is higher for firms with higher marginal tax rates,a,m,Theory,Single Choice,financial analysis: financial reporting: corporate finance,
, True,,,,,,
,  False,,,,,,
,,,,,,,
,Debt Tax Shields substitute for non debt tax shields(depreciation),a,e,Theory,Single Choice,financial analysis: financial reporting: corporate finance,
, True,,,,,,
,  False,,,,,,
,,,,,,,
,Managers' Discretion over FCFs decreases with increase in debt,a,e,Theory,Single Choice,financial analysis: financial reporting: corporate finance,
, True,,,,,,
,  False,,,,,,
,,,,,,,
,Shareholder's influence over manager will determine debt ratio of a firm,a,e,Theory,Single Choice,financial analysis: financial reporting: corporate finance: equity analysis ,
, True,,,,,,
,  False,,,,,,
