,question,Correct Answer,Level,Category,TYPE,skill,Answer
, Gold trades at Rs.16000 per 10 gms in the spot market. Three-month gold futures trade at Rs.16150. One unit of trading is 1kg and the delivery unit for the gold future contract on the NCDEX is 1 kg. A speculator who expects gold prices to rise in the near future buys 1 unit of gold futures. Two months later gold futures trade at Rs.15900	per 10 gms. He makes a profit/loss of _________________.																									,D,e,Numerical,Single Choice,COMMODITY TRADING: derivatives: trading,
,(+)2500,,,,,,
,"(+)25,000",,,,,,
,(-)2500,,,,,,
,"(-)25,000",,,,,,
,,,,,,,
, A company that wants to sell an asset at a particular time in the future can hedge by,A,E,Theory,Single Choice,COMMODITY TRADING: derivatives: trading,
, True,,,,,,
,  False,,,,,,
,,,,,,,
," A _______ order, is an order which is valid for the day on which it is entered.",B,e,Theory,Single Choice,COMMODITY TRADING: derivatives: trading,
,Good till offset,,,,,,
,Good till day,,,,,,
,Good till filled,,,,,,
,Good till cancelled,,,,,,
,,,,,,,
," A Spread order is an order to buy or sell a stated amount of a commodity at a specified price, or at a better price, if obtainable at the time of execution.",A,h,Theory,Single Choice,COMMODITY TRADING: derivatives: trading,
,  False,,,,,,
, True,,,,,,
,,,,,,,
, CHARJDDEL is a symbol for the _______futures contract traded on NCDEX:,C,h,Theory,Single Choice,COMMODITY TRADING: derivatives: trading,
,Copper,,,,,,
,Chilli,,,,,,
,Chana,,,,,,
,Crude Oil,,,,,,
,,,,,,,
, A trader sells 5 units of gold futures at Rs.16500 per 10 grams. What is the value of his open short position? Unit of trading is 1 Kg and delivery unit is one Kg.,B,m,Numerical,Single Choice,COMMODITY TRADING: derivatives: trading,
,"Rs.82,500",,,,,,
,"Rs.82,50,000",,,,,,
,"Rs.8,25,000",,,,,,
,"Rs.82,000",,,,,,
,,,,,,,
, The total number of outstanding contracts (long/short) at any point in time is called _____--,D,h,Theory,Single Choice,COMMODITY TRADING: derivatives: trading: Investment banking: derivatives: futures & options,
,Hedge Limit,,,,,,
,Transaction Charge,,,,,,
,Delivery Lot,,,,,,
,Open Interest,,,,,,
,,,,,,,
, A trader has sold crude oil futures at Rs.3750 per barrel. He wishes to limit his loss to 20%. He does so by placing a stop order to buy an offsetting contract if the price goes to or above __________.,B,h,Numerical,Single Choice,COMMODITY TRADING: derivatives: trading,
,Rs.4650,,,,,,
,Rs. 4500,,,,,,
,Rs.3825,,,,,,
,Rs.3925,,,,,,
,,,,,,,
," On introduction of new contracts, the base price is the __________ of the underlying",B,h,Theory,Single Choice,COMMODITY TRADING: derivatives: trading,
,previous days' average price,,,,,,
,previous days' closing price,,,,,,
,price decided by pre-open auction,,,,,,
,price decided by the exchange,,,,,,
,,,,,,,
," A trader requires to take a long gold futures position worth Rs.85,00,000 as part of his hedging strategy. Two month futures trade at Rs.17000 per 10 gms. Unit of trading is 1Kg and delivery unit is one Kg. How many units must he purchase to give him the hedge?",A,h,Numerical,Single Choice,COMMODITY TRADING,
,5 units,,,,,,
,14 units,,,,,,
,50 units,,,,,,
,10 units,,,,,,
,,,,,,,
," A trading member has proprietary and client positions in a March Chilli futures contract. On his proprietary account, he bought 700 trading units at Rs.6000 per Quintal andmsold 250 at Rs.6015 per Quintal. On account of client A, he bought 200 trading units at Rs.6012 per Quintal, and on account of client B, he sold 100 trading units at Rs.5990 per Quintal. What is the outstanding position on which he would be margined?",A,h,Numerical,Single Choice,COMMODITY TRADING,
,750.00,,,,,,
,950.00,,,,,,
,450.00,,,,,,
,850.00,,,,,,
,,,,,,,
," For Intention Matching and Seller's Right contracts traded at NCDEX, one of the components of the amount of penalty imposed on a seller in case of a delivery default would be____ percent of final settlement price.",B,h,Numerical,Single Choice,COMMODITY TRADING,
,2.00,,,,,,
,0.50,,,,,,
,3.00,,,,,,
,0.50,,,,,,
,,,,,,,
, A bread manufacturer bought five one-month wheat futures contracts at Rs.1155 per Quintal at the beginning of the day. The unit of trading is 10 MT and each contract is for delivery of 10 MT. The settlement price at the end of the day was Rs.1165 per Quintal. The trader's MTM account will show,C,m,Numerical,Single Choice,COMMODITY TRADING,
,(-)2500,,,,,,
,(+)2500,,,,,,
,(+)5000,,,,,,
,(-)5000,,,,,,
,,,,,,,
," Proprietary positions are netted at member level without any set-offs between client Quintal at the beginning of the day. The unit of trading is 10 MT and each contract is
for delivery of 10 MT. The settlement price at the end of the day was Rs.1165 per
Quintal. The trader's MTM account will show",A,m,Theory,Single Choice,COMMODITY TRADING,
, True,,,,,,
,  False,,,,,,
,,,,,,,
," If the value of claim, difference or dispute is more than ___________on the date of application, then such claim, difference or dispute are to be referred to a panel of
three arbitrators.",B,H,Numerical,Single Choice,COMMODITY TRADING,
,Rs.10 Lakh,,,,,,
,Rs.50 Lakh,,,,,,
,Rs.25 Lakh,,,,,,
,Rs.75 Lakh,,,,,,
,,,,,,,
," On respective ___________ day, clearing members effect depository delivery in the depository clearing system as per delivery statement in respect of depository deals.",A,E,Theory,Single Choice,COMMODITY TRADING: derivatives: trading,
,Pay-in,,,,,,
,Expiration,,,,,,
,Settlement,,,,,,
,Pay-out,,,,,,
,,,,,,,
, Any person seeking to dematerialize a commodity has to open an account with an approved ______,C,e,Numerical,Single Choice,COMMODITY TRADING,
,Clearing house,,,,,,
,Exchange,,,,,,
,Depository Participant,,,,,,
,Bank,,,,,,
,,,,,,,
, The commodities cannot be revalidated after the Final Expiry Date (FED).,C,m,Theory,Single Choice,COMMODITY TRADING,
, True,,,,,,
,  False,,,,,,
,,,,,,,
," Where a trade cancellation is permitted and trading member wishes to cancel a trade, depository clearing system as per delivery statement in respect of depository deals.",A,m,Theory,Single Choice,COMMODITY TRADING,
,Clearing Corporation,,,,,,
,SEBI,,,,,,
,RBI,,,,,,
,Exchange,,,,,,
,,,,,,,
," If the last trading day as specified in the respective commodity contract is a holiday, the last trading day is taken to be the previous working day of the Exchange.",A,e,Theory,Single Choice,Trading : capital markets,
, True,,,,,,
,  False,,,,,,
,,,,,,,
," In case the members/constituents are not registered under relevant tax laws with the state in which delivery is affected, they can appoint a Carrying & Forwarding (C&F) agent who would undertake the activities related to the physical delivery of the commodity.",B,M,Theory,Single Choice,COMMODITY TRADING,
,  False,,,,,,
, True,,,,,,
,,,,,,,
, The participants need to access the NSPOT trading system either as client through a member or as __________ of NSPOT.,C,e,Theory,Single Choice,COMMODITY TRADING: trading,
,Dealer,,,,,,
,Agent,,,,,,
,Member,,,,,,
,Contractor,,,,,,
,,,,,,,
, Electronic spot exchange benefits the farmers by way of providing _______.,D,e,Theory,Single Choice,COMMODITY TRADING,
,counterparty guarantee,,,,,,
,direct access to a national level transparent market,,,,,,
,better holding capacity of the produce,,,,,,
,All of the above,,,,,,
,,,,,,,
," In case the participant would need to ______, then he will have to deposit the goods in NSPOT pre-notified accredited warehouse before putting an order for the
corresponding quantity in the NSPOT trading system.",B,E,Theory,Single Choice,COMMODITY TRADING,
,buy,,,,,,
,sell,,,,,,
,buy and sell,,,,,,
,all of the above,,,,,,
